category,title,content
Siyasi,Sened-i İttifak,"RusçukâyanıAlemdar Mustafa Paşa,III. Selimtahta tekrar çıkarmak istediği sırada III. Selim'in öldürülmesi sonucu tahtaII. Mahmud'u çıkardı, ardından kendisisadrazamoldu. Otoritesini taşrada kaybeden Osmanlı Devleti, merkezi otoriteyi tanımayan Rumeli ve Anadolu âyanlarıyla antlaşma yoluna giderek otoritesini taşrada tekrar güçlendirmek amacıyla 29 Eylül 1808 tarihindeKâğıthane’de Osmanlı veayanlararasında ""meşveret-i amme” denilen büyük bir toplantı yapıldı.[187 Ekim 1808 tarihinde her iki taraf arasında ""Sened-i İttifak” adı verilen bir belge imzalandı. İmzalanan belge, padişah tarafından onaylanarak yürürlüğe girdi. Bu belge, bir giriş, yedi şart ve bir zeyl (ek) kısmından oluşmaktadır.[19"
Siyasi,Tanzimat Fermanı,"II.Mahmut'tan sonra tahta geçen sultanAbdülmecid, 3 Kasım 1839 tarihindeMustafa Reşid Paşa'ya hazırlattığı, batılı hukuk kurallarına geçişin ilk aşaması olan[23Tanzimat Fermanı'nı (Gülhane Hatt-ı Hümayunu)Gülhane Parkı'nda ilan ettirdi. Fermanın ilan edildiği sırada padişah, nazırlar, devletin asker ve sivil üst yöneticileri,RumveErmenipatrikleri,Yahudî hahamı, esnaf teşkilâtı temsilcileri ve elçileri dinleyici olarak bulunmuşlardır.[24Ferman, bazı zümrelerin baskı ya da halk ayaklanması sonucu ilan edilmemiştir.Fransız İhtilaliileAvrupa’ya yayılaninkılaphareketlerinin Osmanlı İmparatorluğu'ndaki ilk tepkisini temsil eden Tanzimat Fermanı, hukuki açıdanceza hukuku,idare hukukuveticaret hukukugibi çeşitli hukuk dallarında küçümsenmeyecek gelişmelere öncülük etmiştir.[24"
Siyasi,Islahat Fermanı,"Islahat Fermanı,Kırım Harbi'nin son yıllarında 28 Şubat 1856'daBâb-ı Alî'de bütün bakanlar, yüksek memurlar, şeyhülislâm, patrikler, hahambaşı ve cemaat ileri gelenleri önünde okunarak ilân edildi veParis Antlaşması'nı hazırlayan devletlere bildirildi.[26Kırım Harbi'ndeRusya'ya karşı Osmanlı Devleti'nin tarafında olanİngiltere,FransaveAvusturya, bu desteğin bedeli ve Osmanlı İmparatorluğu'nun Avrupa devletleri ailesine katılmasının şartı olarak Avrupa devletleri bir takım şartlardan oluşanIslahat Fermanı'nın maddeleri,Ali Paşaile İstanbul'daki İngiliz ve Fransız elçileri arasında kararlaştırıldı ve sultanAbdülmecidtarafından onaylandı.[26Hukukî anlamda Islahat Fermanı, misak değil birfermandır[27ve anayasal belge özelliği taşımaktadır. Fermanın amacı, Osmanlıtebaasıarasında eşitlik sağlamaktır.[28Fermanın uygulanma sorumluluğu sadrazam Mehmet Emin Paşa doğrudan sorumlu tutulmuştur.[29Fermanın ilk üç maddesiMehmet Emin Paşa'ya hitap ve genel bir giriş şeklinde olup toplam 35 maddeden oluşmaktadır. Fermanın hükümleri, özetle şöyledir (ilk üç madde hariç):[26[29"
Siyasi,Kanûn-ı Esâsî,"II. Abdülhamid'in tahta çıktıktan sonra 23 Aralık 1876'da ilan ettiğiKânûn-ı Esâsî, ilk Osmanlı anayasasıdır.[30II. Abdülhamid'in gözetimi altındaMithat Paşa'nın başkanlığını yaptığı ""Cemiyet-i Mahsusa"" adındaki bir kurul tarafından hazırlanan Anayasa'nın oluşturulmasında, 1831 tarihliBelçikaile 31 Ocak 1851 tarihliPrusyaanayasaları model alındı.[31Anayasayı hazırlayan kurulda iki asker, 16 sivil bürokrat (üçüHristiyan) veulemadan10 kişi yer aldı.[32Yapılan çalışmalar sonucu hazırlanan tasarı, Heyet-i Vükelâ'dan geçti. 23 Aralık 1876 tarihindepadişahınbir yazısı ile (hatt-ı hûmayun) kabul ve ilân edildi.[31"
Siyasi,1921 Anayasası,"20 Ocak 1921 gün ve 85 sayılı bu kanun, millî devleti yaniTürkiye Devleti'ni (md. 3) kuran ihtilal Anayasası'dır.[5418 Eylül 1920 tarihinde İcra Vekilleri Heyeti, Meclis Genel Kuruluna, bir ""Teşkilât-ı Esasîye Kanunu Lahiyası"" hazırlayarak sundu. Bu lahiya, ""Encümen-i Mahsus"" isimli özel bir komisyona havale edildi. Komisyon raporunu hazırladı. 18 Kasım 1920'denTeşkilât-ı Esasîye Kanunu'nun kabulüne kadar iki ay sürecek görüşmeler başladı.[551921 Teşkilât-ı Esasîye Kanunu'nun görüşülmesi ve kabulünde katı anayasalar için öngörülen özel kurallar (nitelikli çoğunluk vs.) uygulanmamış, adî kanunlar için var olan usûller izlenmiştir.[14Teşkilât-ı Esasîye Kanunu'nun kabulünde 1876 Kanun-u Esasî'nin değiştirilme usûlünü öngören 116'ncı maddesindeki üçte iki çoğunluk kuralına uyulmamıştır.[56"
Siyasi,1924 Anayasası,"1924 Anayasası,Türk Kurtuluş Savaşı'ndan sonra yeni ihtiyaçları karşılayacak daha ayrıntılı bir anayasaya ihtiyaç duyulmasıylaTürkiye Büyük Millet Meclisi(TBMM) bir komisyon oluşturdu: Kanunu Esasî Encümeni.[54Anayasa'nın değiştirilmesi hakkında 1921 Anayasası'nda herhangi bir madde olmadığından TBMM, kurucu gücü özelliğinden yararlanarak üye tam sayısının üçte ikinin oyuna ihtiyaç duyulduğunu belirtti.[57Komisyonun Fransa II. Cumhuriyeti ve Polonya Anayasası'ndan yararlanarak hazırladığı tasarı mecliste görüşüldü; bazı maddeleri değiştirilerek 20 Nisan 1924 tarih ve 491 sayılı kanunla kabul edildi.[54"
Siyasi,1961 Anayasası,"1950-60 döneminin son yıllarında,iktidar çoğunluğunundavranışları, 1960 yılının Nisan ve Mayıs aylarındaprotestogösterilerine, yer yer güvenlik çatışmalarına varan tepkiler aldı. 27 Mayıs 1960 günü, ordu, 38 subaydan oluşan birMillî Birlik Komitesininöncülüğüyle ülkeninyönetimine el koydu. 27 Mayıs'tan sonra anayasalcılık hareketlerinde, egemenliğin sadece ""kullanışı"" bakımından değişiklik getirdi.[65"
Siyasi,1982 Anayasası,"12 Eylül 1980 sabahı,Türk Silahlı Kuvvetleriülke yönetimineel koydu. Bunun ardından üç yılı aşkın bir süre (12 Eylül 1980 - 6 Aralık 1983) biraskeri rejimaltında yaşandı. Müdahaleyi gerçekleştiren üst komutanlar topluluğu, Millî Güvenlik Konseyi adını aldı.[78Ayrıca bir Genel Sekreterlik kuruldu. Konseyin işlemleri, ""kanun, içtüzük, bildiri, karar"" adlarıyla başlıklandırılıp numaralandırıldı. Askerî müdahale, TSK İç Hizmetler Kanununun verdiğiTürkiye’ni koruma ve kollama görevinin bir gereği olarak sunuldu ve meşrulaştırıldı.[79[80Ardındanparlamentofeshedildi, vekillerin dokunulmazlıkları kaldırıldı, temel hak ve özgürlükler askıya alındı, bütün yurttasıkıyönetimilan edildi. Daha sonra da emekli OramiralBülend Ulusu, başbakan olarak atandı ve yeni hükûmeti kurdu.[81"
Siyasi,1982 Anayasası sonrası demokratik ve sivil anayasa çalışmaları,"1982 Anayasası'nın kabulünün ardından anayasada birçok köklü reform yapıldı. Bu köklü reformlar sonucunda insan hakları konusunda ciddi gelişme kaydedildi. Bu değişikliklere karşın, askerî bir müdahalenin ardından geldiği için 1982 Anayasası'nın katılımcı, sivil ve demokratik nitelik taşımadığı gerekçesiyle 1990'lı yıllardan itibaren pek çok kez yeni bir anayasa hazırlama konusu gündeme geldi."
Siyasi,Gümrü Antlaşması,"Gümrü Antlaşması, Türk Kurtuluş Savaşı sırasında Türkiye Büyük Millet Meclisi Hükümeti ile Ermenistan Demokratik Cumhuriyeti arasında 3 Aralık 1920'de imzalanan antlaşmadır. Ayrıca TBMM'nin uluslararası alanda imzaladığı ilk antlaşmadır."
Siyasi,Türkiye-Afganistan İttifak Antlaşması,"Türkiye-Afganistan İttifak Antlaşması, 1 Mart 1921 tarihinde müzakere için Moskova'da bulunan Türk heyeti ile yeni kazanmış bulunan Afganistan temsilcileri arasında imzalanan dostluk antlaşmasıdır. Antlaşma 10 maddeden oluşmaktadır."
Siyasi,Moskova Antlaşması,"Moskova Antlaşması (Gürcüce: მოსკოვის ხელშეკრულება ""mosk'ovis h'elşek'ruleba; Rusça: Московский договор ""Moskovskiy dogovor"") Gürcistan Demokratik Cumhuriyeti ile Sovyet Rusya arasında 7 Mayıs 1920'de Moskova'da imzalanan antlaşmadır. Bolşevik Rusya düşman güçlerin birliklerini Gürcistan topraklarında tutmayacağı sözü karşılığında Gürcistan'ın bağımsızlığını tanımıştır. Bu antlaşma kapsamında Sovyet Rusya Türkler ile Gürcüler arasında o tarihte tartışmalı olan Batum Ardahan ve Artvin bölgelerini de Gürcistan Demokratik Cumhuriyeti'nın bir parçası kabul etmiştir."
Siyasi,Kars Antlaşması,"Kars Antlaşması (Fransızca: Traite de Kars), 13 Ekim 1921 tarihinde imzalanan ve Türkiye ile Güney Kafkasya ülkeleri Gürcistan Sovyet Sosyalist Cumhuriyeti, Azerbaycan Sovyet Sosyalist Cumhuriyeti ve Ermenistan Sovyet Sosyalist Cumhuriyeti arasındaki sınırların belirlendiği antlaşmadır."
Siyasi,Ankara Antlaşması (1921),"Ankara Anlaşması (20 Ekim 1921), TBMM ve Fransız Hükûmeti arasında Türk-Fransız Cephesi'ndeki faaliyetleri durdurmuştur. TBMM yönetimindeki bölgenin güney sınırının taslak olarak belirlenmesine karar verilmiştir, ama asıl politik kararları Lozan Antlaşması'na bırakmıştır."
Siyasi,Türkiye-Ukrayna Dostluk ve Kardeşlik Antlaşması,"Türkiye-Ukrayna Dostluk Antlaşması, Ukrayna Sovyet Sosyalist Cumhuriyeti ile Türkiye arasında imzalanan 1922 tarihli antlaşmadır."
Siyasi,Mudanya Mütarekesi,"Mudanya Mütarekesi veya Mudanya Ateşkes Antlaşması, Kurtuluş Savaşı'nın sonunda imzalanan mütarekedir. Osmanlı İmparatorluğu bu mütarekeyle beraber hukuken sona erdi."
Siyasi,Lozan Antlaşması,"Lozan Antlaşması (Dönemin Türkçesi ile Lozan Sulh Muâhedenâmesi), Lozan Barış Konferansı sonrasında 24 Temmuz 1923 tarihinde İsviçre'nin Lozan şehrinde, Türkiye Büyük Millet Meclisi temsilcileriyle Britanya İmparatorluğu, Fransız Cumhuriyeti, İtalya Krallığı, Japon İmparatorluğu, Yunanistan Krallığı, Romanya Krallığı ve Sırp, Hırvat ve Sloven Krallığı (Yugoslavya) temsilcileri tarafından, Leman Gölü kıyısındaki Beau-Rivage Palace'ta imzalanmış bir barış antlaşmasıdır."
Siyasi,Bulgaristan-Türkiye Dostluk Antlaşması,"Türkiye – Bulgaristan Dostluk Antlaşması, 18 Ekim 1925 tarihinde Türkiye ile Bulgaristan Krallığı arasında Ankara’da imzalanmıştır. Ankara'da imzalanması sebebiyle Türkiye İle Bulgaristan Arasında Mün’akid Muhadenet Muahedenamesi, Ankara Antlaşması olarak da isimlendirilmektedir.[1] Antlaşma 30 mayıs 1926 tarihinde Bakanlar Kurulu tarafından onaylandıktan sonra Resmi Gazete’nin 20 Haziran 1926 tarihli sayısında yayınlanmıştır.[2]"
Siyasi,Sovyetler Birliği-Türkiye Dostluk ve Tarafsızlık Antlaşması,"Sovyetler Birliği-Türkiye dostluk ve tarafsızlık antlaşması, 7 Aralık 1925’te Türkiye ile SSCB arasında Paris'te imzalanan antlaşma."
Siyasi,Ankara Antlaşması (1926),"Ankara Antlaşması (1926), 5 Haziran 1926 tarihinde, Türkiye ve Irak arasındaki siyasi sınırları belirlemek ve komşuluk münasebetlerini düzenlemek amacıyla İngiltere ve Türkiye tarafından Ankara'da imzalanan anlaşma.[1][2]"
Siyasi,Amerika Birleşik Devletleri-Türkiye ilişkileri,"Amerika Birleşik Devletleri-Türkiye ilişkileri, Amerika Birleşik Devletleri ile Türkiye'nin Osmanlı İmparatorluğu döneminde başlayan ve 1947 yılından bu yana[1] aktif sürdürdüğü uluslararası politikaları içerir."
Siyasi,Türkiye-Afganistan Dostluk Antlaşması,Türkiye-Afganistan Dostluk Antlaşması 25 Mayıs 1928'de imzalanmış 22 Temmuz 1928'de yürürlüğe girmiştir.
Siyasi,Londra Sözleşmeleri,Londra Sözleşmesi Boğazlar ile ilgili 1871'de Londra'da imzalanan sözleşme. Londra Sözleşmesi'nde de Osmanlı İmparatorluğunun eski kuralı teyit edilmiştir. Osmanlı Devleti kendi güvenliği açısından gerektiğinde istediği gibi “dost veya müttefik” güçlerin savaş gemilerine Boğazları açabilecektir.1923 Lozan Sözleşmesine kadar Türk Boğazlarından geçiş rejimi 1871 Londra Sözleşmesiyle düzenlenmiştir.
Siyasi,Balkan Antantı,"Balkan Antantı veya Balkan Paktı, 9 Şubat 1934 tarihinde Atina'da Türkiye, Yunanistan, Yugoslavya ve Romanya arasında imzalanan anlaşmadır.[1]"
Siyasi,Montrö Boğazlar Sözleşmesi,"Montrö Boğazlar Sözleşmesi, 1936'da imzalanan ve Türkiye'ye İstanbul Boğazı, Çanakkale Boğazı ve Marmara Denizi üzerinde kontrol ve savaş gemilerinin geçişini düzenleme hakkı veren uluslararası sözleşmedir. Sözleşme, Türkiye'ye Boğazlar üzerinde tam kontrol hakkı verir ve barış zamanı sivil gemilerin özgürce geçişini garantiler. Sözleşme, Karadeniz'e kıyısı olmayan ülkelere ait savaş gemilerinin geçişini sınırlar. Sözleşmenin şartları, özellikle Sovyetler Birliği Donanması'na Akdeniz'e erişim hakkı sağlaması yıllar boyunca tartışma konusu olmuştur. 1923'te Lozan Antlaşması ile birlikte imzalanan Boğazlar Sözleşmesi'nin yerine geçmiştir. Bu sözleşmeyle birlikte Uluslararası Boğazlar Komisyonu'nun da görevi sonlanmıştır.[2]"
Siyasi,Sadabat Paktı,"Sadabat Paktı; Türkiye, İran, Irak ve Afganistan arasında, 8 Temmuz 1937 tarihinde Tahran'da Sadabat Sarayı'nda imzalanan dörtlü saldırmazlık paktı.[1][2]"
Siyasi,Türk-Alman Dostluk Paktı,"Türk-Alman Dostluk Paktı, Almanya ve Türkiye arasında 18 Haziran 1941 yılında imzalanmış bir saldırmazlık ve dostluk antlaşmadır."
Siyasi,Balkan Paktı (1953),"Balkan Paktı (resmi adı: Dostluk ve İşbirliği Antlaşması) 28 Şubat 1953'te, Yunanistan, Türkiye ve Yugoslavya Sosyalist Federal Cumhuriyeti arasında imzalanan antlaşma.[1] Ankara'da imzalanmıştır. Antlaşma, Sovyetler Birliği'nin Balkanlar'daki etkisine karşı bir caydırıcı bir rol oynaması için imzalandığı bildirilmektedir.[2] Bu antlaşma, üç ülke arasında nihai askeri iş birliğinin yolunu açmıştır. İmzalandığı dönemde Türkiye ve Yunanistan NATO'ya üye ülkeler arasındayken, komünist Yugoslavya NATO'ya üye olmayan bir devletti. Bu sayede Yugoslavya NATO'ya üye olmadan dolaylı bir şekilde kendisini NATO ile ilişkilendirmiştir."
Siyasi,CENTO,"CENTO (Central Treaty Organization; Merkezi Antlaşma Teşkilatı; önceki adı ile Bağdat Paktı (1955-1959), Türkiye, İran, Irak, Pakistan ve Birleşik Krallık arasında, Sovyetler Birliği'nin Ortadoğu'da nüfuz kurmasını önlemeye yönelik olarak kurulan eski karşılıklı güvenlik ve savunma örgütü.[1]"
Siyasi,Zürih ve Londra Antlaşmaları,"Zürih ve Londra Antlaşması, 11 Şubat 1959 tarihinde Birleşik Krallık, Türkiye ve Yunanistan devletleri ile Kıbrıs'taki Rum ve Türk toplumları arasında imzalanan, bağımsız bir devlet olarak Kıbrıs halklarının durumunu belirleyen ve Kıbrıs Cumhuriyeti anayasasını onaylayan antlaşmadır. Rum tarafını Başpiskopos Makarios, Türk tarafını ise Fazıl Küçük temsil etmekte idi."
Siyasi,Kalkınma İçin Bölgesel İşbirliği,"Kalkınma İçin Bölgesel İşbirliği (Regional Cooperation for Development-RCD), Türkiye, İran ve Pakistan arasında bölgesel iş birliğini güçlendirmek amacıyla kurulan uluslararası örgüt."
Siyasi,Cenevre Antlaşması,"Cenevre Antlaşması[1] veya Cenevre Deklarasyonu,[2] 25-30 Temmuz 1974 tarihleri arasında Birleşik Krallık, Türkiye ve Yunanistan'ın dışişleri bakanları aracılığıyla Kıbrıs Harekâtı ve Kıbrıs Sorunu'na yönelik müzakerelerde bulundukları Cenevre'de imzaladıkları antlaşma.[3]"
Siyasi,Karadeniz Ekonomik İşbirliği,"Karadeniz Ekonomik İşbirliği Örgütü (KEİÖ) (İngilizce Black Sea Economic Cooperation Organization), 25 Haziran 1992 tarihinde İstanbul'da düzenlenen zirvede imzalanan anlaşma ile kurulan ve Karadeniz havzasındaki ülkelerin ekonomik iş birliğini amaçlayan uluslararası kuruluştur.[1]"
Siyasi,Barselona Sözleşmesi,"Kısaca Barselona Sözleşmesi olarak bilinen Akdeniz'in Kirliliğe Karşı Korunması Sözleşmesi, Birleşmiş Milletler Çevre Programı'nın (UNEP) 1974 yılında kurduğu “Bölgesel Denizler Programı” kapsamında Akdeniz'deki gemilerin, uçakların ve kara taşıtlarının yol açtığı kirlenmeyi önleyerek ve azaltarak Akdeniz'in korunması hedefini içeren sözleşmedir. Bölgesel Denizler Programı, Akdeniz’e kıyısı olan ülkeler ve Avrupa Birliği’nin katılımıyla, Akdeniz Eylem Planı’nın (MAP) 1975 yılında oluşturulmasıyla sonuçlanmıştır. MAP ise daha sonra “Akdeniz’in Kirliliğe Karşı Korunması Sözleşmesi” (Barselona Sözleşmesi) 1976 yılında Barselona'da kabul edilmesine zemin olmuş, 1978 yılında BS yürürlüğe girmiştir.[1]"
Siyasi,Stratejik Ortaklık ve Karşılıklı Yardım Anlaşması,"Stratejik İşbirliği Antlaşması, Azerbaycan ve Türkiye arasında, Azerbaycan adına Cumhurbaşkanı İlham Aliyev ve Türkiye adına 11. Cumhurbaşkanı Abdullah Gül tarafından imzalanmış iş birliği ve karşılıklı destek antlaşmasıdır."
Siyasi,2000 UEFA Kupası yarı final olayları,2000 UEFA Kupası yarı final olayları 5 Nisan 2000'de 1999-2000 UEFA Kupası'nın yarı finalinin ilk maçından önce Leeds United ve Galatasaray taraftarlarının birbirlerine saldırması olayıdır. Saldırı iki Leeds United taraftarının Galatasaraylılar tarafından bıçaklanarak öldürülmesiyle sonuçlandı. Kavganın sonucunda dört kişi cinayetten dolayı suçlu bulundukları için tutuklandı. Yarı finalin ilk maçı İstanbul'da yapılmıştı. İkinci maç Leeds'de yapılacaktı. Leeds'deki maçta karşı tarafın saldırma ihtimalini göz önünde bulunduran UEFA maça Galatasaray taraftarı alınmamasını kararlaştırdı. Bu da İngiltere'de tepkilere yol açtı.
Siyasi,Fındıcak İsyanı,Fındıcak Ayaklanması altı yüz kadar Ermeni isyancı tarafından Maraş'la Bahçe kazası arasında bulunan Ayvacık yaylasına yakın Fındıcak karyesinde 1915 yılının Temmuz ayında çıkartılan ayaklanma girişimidir.
Siyasi,Gazi Mahallesi olayları,Gazi Mahallesi olayları ya da Gazi Katliamı[2] 12 Mart 1995 tarihinde Gazi Mahallesi'nde bulunan Alevilerin çoğunlukta olduğu bir kahvehaneye durdurdukları bir taksi şoförünü öldürerek aynı taksiyle kahvehanedeki sivillere yönelik kimliği belirsiz kişilerce gerçekleştirilen silahlı provokatif saldırı sonucu başlayan ve şehrin diğer bölgelerine yayılan olaylar. 15 Mart 1995'e dek kent geneline yayılan olaylar sonucunda 22 kişi ölmüş yüzlerce kişi yaralanmış ve tutuklanmıştır.[1]
Siyasi,İstanbul Havalimanı protestoları,İstanbul Havalimanı protestoları İstanbul Havalimanı'nın yapımı aşamasında inşaat işçileri tarafından kötü çalışma koşulları sebebiyle 14 Eylül 2018 tarihinde başlatılan protesto eylemidir.[3] 29 Ekim'deki açılışa yetiştirilmeye çalışılan havalimanı inşaatının şantiyesinde başlayan eylemi İnşaat ve Yapı İşçileri Sendikası (İYİ-SEN) Twitter hesabından duyurdu. İşçiler sabah saatlerinde şantiye önünde toplanıp servislerin çıkışına engel olarak tepkilerini dile getirdi. Şantiyedeki yemek ve barınma olanaklarının kötü olduğu çalışmalar sırasındaki iş kazalarında meydana gelen ölüm ve yaralanmaların kamuoyundan saklandığı dile getirildi. Eylem yapan işçiler yönetime 15 maddelik bir talep hazırlayarak yönetime sundu.
Siyasi,Kanlı Pazar (1969),"Kanlı Pazar 16 Şubat 1969 tarihinde İstanbul Taksim Meydanı'nda ABD'nin 6. Filo'sunu protesto etmek için 76 gençlik örgütünün toplandığı sırada meydana gelen olaylardır. Tarihçi Feroz Ahmad ise olayı ""organize bir faşist şiddet örneği"" olarak nitelemiştir.["
Siyasi,Kamışlı Olayı,Kamışlı Olayı Kamışlı Ayaklanması[1] ya da Kamışlı Katliamı [2] Suriye'de 2004 yılında gerçekleşen futbol maçı sırasında ortaya çıkan protesto gösterilerinin ardından 52 kişinin yaşamını yitirmesi ile sonuçlanan olay.
Siyasi,Dersim İsyanı,Dersim İsyanı Dersim'de 1937-1938 yıllarında Türk Hükûmetiyle bazı Dersim aşiretleri[1][8] arasında bölgenin hâkimiyeti ile ilgili çıkan anlaşmazlıklar sonucu yaşanan olaylara verilen isimdir. Dersim'de (Tunceli Erzincan Elazığ Sivas Malatya ve Bingöl illerinin bir kısmı)[9] aşiretlerin isyanı sonucunda mutlak devlet hâkimiyetini sağlamak için Türk Silahlı Kuvvetleri tarafından aşiretler üzerine Dersim Harekâtı düzenlendi. Bölgedeki isyancıların önemli kısmını 1920'de Sivas'ın Zara ve İmranlı ilçelerinden gelerek bölgeye sığınan isyancılar oluşturuyordu.[10][11][12] Harekât neticesinde sayılar hakkında birçok iddia bulunurken yaygın kanı olarak 11.683 kişi göçe tâbi tutulurken 1.401 kişi öldürülmüştür.[13]
