category,title,content
Bilimsel,Hulusi Behçet,"Hulusi Behçet (20 Şubat 1889 - 8 Mart 1948, İstanbul), Türk dermatoloji uzmanı ve bilim insanıdır."
Bilimsel,Cem Alhan,"Cem Alhan (d. 1961, İstanbul), Türk cerrah."
Bilimsel,Erkan Oğur,"Mehmet Erkan Oğur[1] (17 Nisan 1954, Ankara[2][3][4][5]), Türk müzisyen. Perdesiz gitarların öncüsü olarak 1976'da ilk perdesiz klasik gitarı icat etti.[6][7]"
Bilimsel,Galip Akay,"Galip Akay, (d. 1945, Şarkışla, Sivas) Türk asıllı İngiliz vatandaşı kimya mühendisi, akademisyen, mucit. İngiltere'deki Crandfield, Nothingham, Newcastle ve Sydmouth üniversitelerinde görev yaptı. Akay Katalizörü[1] ve İşlem Yoğunlaştırma (Process Intensification) teknolojisi alanındaki çalışmalarıyla 1998-2017 yılları arasında 20 buluşa, 300'e yakın makaleye imza attı. Buluşları ABD Patent ve Marka Ofisi'nce onanıp koruma altına alındı.[2]"
Bilimsel,Hakan Gürsu,Bağımsız ve güvenilir kaynaklar kullanarak maddeyi geliştirebilir ve kayda değer olduğunu ispat edebilirsiniz. Maddenin kayda değerliği kanıtlanamazsa Vikipedi'nin silme politikası gereğince hızlı silinmesi veya kayda değerliği tartışmalı ise silinmeye aday gösterilmesi yerinde olacaktır.
Bilimsel,Hasan Tahsin Feyizli,Bağımsız ve güvenilir kaynaklar kullanarak maddeyi geliştirebilir ve kayda değer olduğunu ispat edebilirsiniz. Maddenin kayda değerliği kanıtlanamazsa Vikipedi'nin silme politikası gereğince hızlı silinmesi veya kayda değerliği tartışmalı ise silinmeye aday gösterilmesi yerinde olacaktır.
Bilimsel,Menahem Hodara,"Menahem Hodara (1869, İstanbul - 1926, İstanbul), Osmanlı-Türk dermatoloji uzmanı ve bilim insanı."
Bilimsel,İhsan Sıtkı Yener,"İhsan Sıtkı Yener, (1925, Afyon - 2 Eylül 2016, İstanbul), Türk öğretmen ve eğitimci, F klavyenin mucidi, Uluslararası Bilgi İşlem ve İletişim Federasyonu (INTERSTENO) Türkiye Temsilciliği Onursal Başkanı.[1]"
Bilimsel,İlke Sipahi,Bağımsız ve güvenilir kaynaklar kullanarak maddeyi geliştirebilir ve kayda değer olduğunu ispat edebilirsiniz. Maddenin kayda değerliği kanıtlanamazsa Vikipedi'nin silme politikası gereğince hızlı silinmesi veya kayda değerliği tartışmalı ise silinmeye aday gösterilmesi yerinde olacaktır.
Bilimsel,Murat Tuzcu,"Murat Tuzcu (d. 1952, İstanbul), Türk kardiyolog gazeteci yazar."
Bilimsel,Orhun Muratoğlu,"Orhun Muratoğlu, Türk bilim insanı.[1]"
Bilimsel,Tuncay Uluğ,Bağımsız ve güvenilir kaynaklar kullanarak maddeyi geliştirebilir ve kayda değer olduğunu ispat edebilirsiniz. Maddenin kayda değerliği kanıtlanamazsa Vikipedi'nin silme politikası gereğince hızlı silinmesi veya kayda değerliği tartışmalı ise silinmeye aday gösterilmesi yerinde olacaktır.
