category,title,content
Doğal Afetler,MS 17 Lidya depremi,"MS 17 Lidya depremi, Anadolu'da Roma'nın Asya eyaletindeki Lidya bölgesinde en az on iki şehrin yıkılmasına neden oldu. Deprem, Romalı tarihçiler Tacitus ve Yaşlı Plinius ile Yunan tarihçiler Strabon ve Eusebios tarafından kaydedildi. Plinius bunu ""insan hafızasındaki en büyük deprem"" olarak adlandırdı.[1] Lidya İmparatorluğu'nun eski başkenti olan Sardes şehri en çok etkilenen ve yıkımdan asla tam olarak kurtulamayan şehirdi.[2]"
Doğal Afetler,115 Antakya depremi,"115 Antakya depremi, 13 Aralık 115 tarihinde Antakya'da meydana gelen ve yüzey dalgası büyüklüğü 7.5 Ms, günümüz ölçümleri ile mercalli şiddet ölçeğinde tahmini ise maksimum XI. (Aşırı) yoğunlukta meydana gelen deprem. Antakya ve çevresinde yaklaşık 260.000 kişinin ölümüne sebebiyet verdiği düşünülen ve çok ciddi maddi hasara neden olan deprem, günümüzde Türkiye coğrafyası sınırları içerisinde en çok can kaybına sebep olan deprem olarak kayıtlara geçmiştir."
Doğal Afetler,141 Likya depremi,"141 Likya depremi MS 141 ile 142 döneminde meydana gelmiştir. Likya ve Karya Roma eyaletlerinin çoğunu ve Rodos, İstanköy, Sömbeki ve Koyunluca adalarını etkilemiştir.[1][2][3] Büyük su baskınına neden olan ciddi bir tsunamiye neden olmuştur.[4] Bu depremin merkez üssü net olarak belirlenememiştir, tahmin edilen yerler Rodos'un kuzey ucu,[5] Marmaris yakınlarında Rodos'un kuzeyinde Türk anakarası,[3] ya da Rodos'un doğusunda denizin altıdır.[4]"
Doğal Afetler,262 Güneybatı Anadolu depremi,"262 Güneybatı Anadolu depremi Anadolu'nun batı ve güney kıyılarında yer alan şehirleri Roma'nın Efes kenti ile beraber 262 yılında veya muhtemelen 261. yılında harap etmiştir.[1][2][3] Bu depremin merkez üssü büyük olasılıkla güney Ege Denizi'ndeydi.[1] Dönemin raporları, muhtemelen bir tsunami nedeniyle birçok şehrin denizden gelen suyun altında kaldığını belirtmektedir.[1]"
Doğal Afetler,447 Konstantinopolis depremi,"447 Konstantinopolis depremi, 447'de Konstantinopolis ve çevresindeki bölgeyi etkileyen büyük bir depremdir. Yakın zamanda tamamlanıp Konstantinopolis Surları'na eklenen Theodosius Surları'nda ciddi hasara neden oldu, 57 kuleyi ve geniş sur duvarlarını yok etti. Bu yıllarda Tanrının Kırbacı Attila, Roma ve Konstantinopolis'u tehdit ettiği için surların önemli bir kısmının yıkılması, kentte paniğe yol açtı; şehir sakinleri, bu tehdidi önleyebilmek için gece gündüz çalışarak surları birkaç ayda tamir etti.[4]"
Doğal Afetler,526 Antakya depremi,"526 Antakya depremi, 526 yılında Mayıs sonlarında olasılıkla 20. ve 29. günler gerçekleşen, Antakya başta olmak üzere Suriye ve Türkiye'de yaklaşık 250.000 kişinin ölmesine neden olan bir depremdir.[2] Depremi bir yangın takip etti ve deprem sonrası ayakta kalan binaların çoğunu tahrip etti. Mercalli şiddet ölçeğindeki zarar tahminleri: VIII Antakya, VII Dafna & Seleukia'dır. Seleukia limanında bir 0,7 - 0,8 m'lik arazi çıkıntısı hesap edildi ve limanın sonradan gelen çamurla dolması onu kullanılamaz şekilde bıraktı.[3] Bu olay tarihte altıncı ölümcül doğal felaket ve üçüncü ölümcül depremdi.[4]"
Doğal Afetler,557 Konstantinopolis depremi,"557 Konstantinopolis depremi, 14 Aralık gecesi gerçekleşmiştir. Agathias, İoannis Malalas ve Günah Çıkartıcı Theofanis'in eserlerinde anlatılan bu deprem, Bizans İmparatorluğu'nun başkenti Konstantinopolis'e ve depremlerle sık sık karşılaşılan bölgeye büyük zarar verdi.[2] Daha küçük depremler, sırasıyla, nisan ve ekim ayında olmak üzere, büyük olaydan önce gerçekleşmişti.[3] Aralık ayında ana deprem eşsiz bir gaddarlık ile şehri ""neredeyse tamamen yıktı"". Ertesi yıl kubbesinin çöküşüne etkisi olacak şekilde Ayasofya'ya zarar verirken, Konstantinopolis surlarına verdiği zarar Hun işgalcilerin sonraki dönemler kolaylıkla nüfuz edebilmelerine neden oldu.[3]"
Doğal Afetler,840 Erzurum depremi,840 Erzurum depreminin Qaliqala (modern Erzurum) şehrinde meydana geldiği rivayet edilir.[1]
Doğal Afetler,1114 Maraş depremi,"1114 Maraş depremi, 29 Kasım 1114 günü sabahın erken saatlerinde Maraş'ta meydana gelen büyük bir depremdir. Depremin büyüklüğünü 7,4 Mw'den daha büyüktü.[2]"
Doğal Afetler,1268 Kilikya depremi,"1268 Kilikya depremi, 1268 yılında 60.000'den fazla insanın ölümüne yol açan çok şiddetli bir depremdir.[2][3] Deprem Güney Ön Asya'daki Kilikya Ermeni Krallığı'nda meydana geldi. Merkez Adana şehrinin kuzeydoğusuydu. O zamanki adıyla Sis yani Kozan'da olduğu sanılmaktadır. Adana ve çevresi büyük yıkıma uğradı. Deprem günü insanlar günlük rutinlerini gerçekleştirirken hiç beklenmedik korkunç bir ses duyuldu. Ardından sarsıntılar ile şehir yerle bir oldu. Evlerin neredeyse tamamı yıkıldı. İnsanlar kıyametin koptuğunu sandı. Bunların yanı sıra yangınlar ve tsunami de meydana geldi. Adana'ya giden yollar da yerle bir oldu. Enkaz altından kurtulan insanlar bu yüzden şehirde hapsoldu. Açlık, susuzluk vb. pek çok olaydan dolayı enkazda ölmeyen pek çok insan da hayatını kaybetti. Anadolu coğrafyasındaki en ölümcül depremlerden biridir.[4]"
Doğal Afetler,1513 Maraş depremi,"1513 Maraş depremi, 28 Mart 1513 tarihinde merkez üssü Maraş'ın 77 km batısı olan, 7.4 Ms büyüklüğünde meydana gelen deprem.[1] Doğu Anadolu Fay Hattı üzerinde gerçekleşen deprem, Dulkadiroğulları Beyliği'nin başkenti Elbistan ve yakınlarındaki yerleşim yerlerinde yıkıma yol açtı."
Doğal Afetler,1556 Marmara Denizi depremi,"10 Mayıs 1556 Marmara Denizi depremi orta Marmara Denizi'nin kuzey sahilleri, İstanbul ve Bursa'da hissedilmişti[1][2]"
