category,title,content
Doğal Afetler,1660 Büyük İstanbul Yangını,"1660'ta Konstantiniyye'de (şimdiki İstanbul) çıkan yangında şehrin üçte ikisi yok olmuştur. Tarihçi Abdi Paşa, yangının 280.000 evi yok ettiğini ve yaklaşık kırk dokuz saat boyunca sürdüğünü tahmin ediyor."
Doğal Afetler,1782 İstanbul yangınları,1782 yılında İstanbul'da 3 büyük yangın çıkmıştır.[1]
Doğal Afetler,1911 İstanbul yangını,"23 Temmuz 1911'de, İstanbul'da bir yangın çıktı. Yangında, günümüzde Fatih ilçesinin Aksaray, Balabanağa, İskenderpaşa, Kemalpaşa, Mesihpaşa ve Mimar Kemalettin mahalleleri etkilendi. Resmî kayıtlara göre yaklaşık 2471,76 km2lik[a] alanda 2400 bina etkilendi.[1]"
Doğal Afetler,1923 Salmatomruk Yangını,"1923 Salmatomruk Yangını, 9 Kasım 1923'te Karagümrük'teki Salmatomruk Mahallesi'nde meydana gelen yangındır."
Doğal Afetler,1925 Heybeliada Yangını,"1925 Heybeliada Yangını, 10 Eylül 1925'te İstanbul'daki Heybeliadada Piroğlu Sokağında meydana gelen yangındır."
Doğal Afetler,2024 Gayrettepe gece kulübü yangını,"2 Nisan 2024 tarihinde İstanbul, Beşiktaş'a bağlı olan Gayrettepe mahallesindeki Masquerade Club'da meydana gelen patlama sonucu[2] çıkan yangında 29 kişi öldü.[1]"
Doğal Afetler,Büyük Beyoğlu Yangını,"Büyük Beyoğlu Yangını, 5 Haziran 1870 tarihinde[1] İstanbul, Beyoğlu'nda yaşanan yangın."
Doğal Afetler,Çırçır Yangını,"Çırçır Yangını, 23 Ağustos 1908’de İstanbul Saraçhanebaşı'nda büyük bir yangın çıktı. Yangının başladığı sokağın dar ve evlerin birbirine bitişik olması yangının söndürülmesini güçleştiriyor, rüzgâr yangının çabuk yayılmasına neden oluyordu. Yangının bir kolu Zeyrek, diğer kolu At Pazarı yönüne ilerledi. İstanbul Beyoğlu ve Bahriye İtfaiye taburlarıyla Boğaziçi, Üsküdar ve Beyoğlu'ndan gelen tulumbacılar yangını söndürmeye çalıştılar, ancak bütün gayretlerine rağmen yangın yayılarak gece saat yediye kadar devam etti. Kıztaşı tarafına sıçrayan yangın At Meydanı'nda Orta Çeşme yönüne ve Sofular'a giden caddeye kadar ilerledi ve ancak gece saat iki sıralarında söndürülebildi. Saraçhane Caddesi'ne doğru ilerleyen kol Saraçhane Çarşısı Kapısı dışında bulunan birkaç dükkânın yanmasının ardından söndürüldü. Üçüncü kol da Saraçhanebaşı'ndan Kovacılar'a giden cad- denin iki tarafındaki binaları yaktıktan sonra söndürülebildi."
Doğal Afetler,2024 İzmir orman yangınları,2024 İzmir orman yangınları 2024 orman yangını sezonunda İzmir ilinde çıkmış yangınlardır.
Doğal Afetler,1841 İzmir Yangını,1841 İzmir Yangını 29 Temmuz 1841[1] tarihinde İzmir'de oluşan bir yangın. Daha çok Türk ve Yahudi mahallelerinde etkili oldu[1] ve şehrin yaklaşık üçte ikisi ve on bin civarında ev ve dükkân yandı. Yangından birkaç gün sonra İzmir'e uğrayan Blanqui durumu şöyle bildiriyor "İzmir birkaç gün önce evlerinin üçte ikisini yok eden korkunç bir yangınla tahrip olmuştu. Bizim girdiğimiz ilk mahalleler bir kül yığınından ibaretti". Bu yangın İzmir Yahudi mahallesinin büyük kısmını yok etti.[2] Yerli bir Fransız gazetesine göre yüzlerce Yahudi evi 7 sinagog ve birer Yahudi kütüphane ve hastane yandı.[1] Sonradan Avrupa Yahudileri İzmir Yahudilerine yardım gönderdiler.
Doğal Afetler,1922 İzmir Yangını,1922 İzmir Yangını veya yabancı kaynaklarda kullanılan terimle Büyük İzmir Yangını 13 Eylül 1922 günü Basmane'de başlayan ve dört gün sürerek İzmir şehir merkezini (özellikle o dönemdeki merkezi ve bugünkü İzmir Enternasyonal Fuarı alanını) geniş ölçüde tahrip eden yangın hadisesidir.
Doğal Afetler,1870 Lazistan Yangını,1870 Lazistan Yangını Şubat 1870'te Artvin'in Borçka ilçesindeki Karaşalvar mevkiinde başlayıp rüzgarın etkisiyle Hodangir Kobuleti Acara Batum Livaste Gönye Hopa Arhavi Mukril ve Kutaisi'deki ormanları etkileyen yangın felaketidir.[1] Yangında Mukril'de bir kadın ve bir erkek çocuğu öldü. Karaşalvar bölgesindeki 405 kişi evsiz kaldı ve zahire depolarında bulunan 2.111 kile lazot 256 kıyye fasulye ve 60 kıyye pasta yanarak yok oldu. Yangın bölgedeki kızılağaç gürgen ve dut fidanlıklarını yok etti.[2]
Doğal Afetler,2016 Adana öğrenci yurdu yangını,29 Kasım 2016 Adana öğrenci yurdu yangını Aladağ Faciası veya Adana Aladağ Yangın Faciası Adana'nın Aladağ ilçesi Sinanpaşa Mahallesi'nde bulunan ve 200 öğrencinin kaldığı Aladağ Tahsil Çağındaki Talebelere Yardım Derneği Orta öğretim Kız Öğrenci Yurdunda elektrik kontağından çıkan yangın.[1]
