category,title,content
Ekonomi,İzmir İktisat Kongresi,"Genellikleİzmir İktisat Kongresiolarak bilinen ""Türkiye İktisat Kongresi"", yeni kurulan Türkiye'nin siyasi ve askeri alanda kazandığı başarısının ekonomik alanda da sürdürülmesi amacıyla 17 Şubat 1923'te[5]Atatürkbaşkanlığında 1135 kişinin katılımı ile toplandı[6]. Atatürk, kongrenin açılış konuşmasında ekonominin önemini şu şekilde vurguladı."
Ekonomi,Lozan Antlaşması'nın kabulü,"Ankara Hükûmeti, askeri ve siyasi zaferlerin kazanıldığı bir dönemde 16 Ekim 1923'teDüyûn-ı Umûmiyeidaresine gönderdiği bir tebligatta tüm gelir, gider, sözleşme ve borçlanma konusunda yalnızcaTBMM'nin yetkili olduğunu, aksine yapılan tüm işlemlerin hükümsüz olacağını bildirdi.[10]Böylece ülkeyi temsil eden kurumunAnkara Hükûmetiolduğunu duyurmuş oldu."
Ekonomi,Aşarın kaldırılması,"Osmanlı'da devletin en önemli mali kaynağı olanaşartarım ürünlerinden 1/10 oranında alınan şer'i bir vergidir. Aşar, 1850'de bütçe gelirlerinin yüzde 30,4'ünü, 1864'te yüzde 47,6'sını oluşturuyordu.[17]Cumhuriyetin ilk yıllarında da bu özelliğini koruyarak 1924 yılı bütçesinin 27,5 milyon lirası aşardan sağlandı.[17]İzmir İktisat Kongresi'nde alınan en önemli karar aşar vergisinin kaldırılmasıdır.[18]Alınan bu karar 2 yıl sonra uygulandı. 5552 sayılı ve 17 Şubat 1925 tarihli kanun ile altı yüz yıldan fazla bir süredir uygulanan aşar vergisi kaldırıldı.[18]"
Ekonomi,Sanayi Teşvik Kanunu,"Osmanlı'da 1913 yılında ""Teşvik-i Sanayii Muvakkatı"" adı altında bir yasa çıkarılmıştı ancak Osmanlı sanayisine yoğun bir şekilde yabancı sermaye hakim olduğundan kanun kapsamında verilen kredilerin büyük kısmı yabancı sermaye tarafından kullanıldı. AyrıcaTrablusgarp,Balkanve sonrasındaI. Dünya Savaşı'nın iktisadi ve siyasi şartlarının getirdiği zorluklar içinde kanun amacına ulaşamadı.[22]"
Ekonomi,Toprak reformu,"Osmanlı'dan yeni Türkiye'ye geçişte toprak rejiminde kayda değer değişiklikler yaşandı. İşgücü büyük ölçüde tarımla uğraşan ve ekonomisi tarıma dayalı ülkenin tarımsal kalkınmasının sağlanması amacıyla yasal düzenlemeler de yapıldı. 1929 yılı TBMM açılış konuşmasında Atatürk bu durumu şu sözlerle vurgulamaktadır:""...çiftçiye arazi vermek de hü­kûmetin takip etmesi lâzım gelen bir keyfiyettir. Çalışan Türk köy­lüsüne işleyebileceği kadar toprak temin etmek memleketin üreti­mini zenginleştirecek başlıca çarelerden biridir.""[25]"
Ekonomi,Âli İktisat Meclisi,"1927'de Başbakanlığa bağlı olarak kurulan ve 1935'teBirinci Beş Yıllık Kalkınma Planıkadar[27]faaliyet gösterenÂli İktisat Meclisi, siyasetçi, asker ve meslek örgütü temsilcileri olmak üzere 24 üyeden oluşuyordu.[28]Bir yaptırım gücü olmayan ve kararları tavsiye niteliği taşıyan meclis, beklenildiği gibi ekonomi politikaları üzerinde etkili olamadı. Daha çok ülkenin ekonomik durumuna ilişkin raporlar hazırladı. Âli İktisat Meclisi, 1960'lardan sonra kurulanDevlet Planlama Teşkilatınınaraştırma ve danışma özelliğine benzer nitelik taşır ve Cumhuriyet döneminin ilk Ekonomik Konsey tipi yapılanmasıdır.[2]"
Ekonomi,Büyük Buhran,"Ekonomisi büyük ölçüde tarıma dayalı Türkiye'deBüyük Buhran'da en çok tarım sektörü etkilendi.[29]Tarımsal üretim geriledi, tarım ürünlerinin fiyatları düşüş yaşadı.Türk lirasınınaşırı değer kaybetmesi karşısında 1930 yılında ""Türk Parasının Kıymetini Koruma Hakkında Kanun"", dış ticaret açığının artması karşısında ""Ticarette Tağşiş'in Men-i ve İhracatın Murakabe­si ve Korunması Hakkında Kanun"" ve ithalatın kontrol edilmesine yönelik kanun çıkarıldı.[30]Ayrıca para piyasalarındaki sorunun çözümü için 1930'daTürkiye Cumhuriyet Merkez Bankasıkuruldu veOsmanlı Bankası'nın görev ve yetkilerine son verildi. Türk lirasının değer kaybetmesinin nedeni dış ticaret açığı olarak görüldüğünden ithalatı kısıtlayıcı tedbirler alındı.[30]Bu amaca yönelikMillî İktisat ve Tasarruf Cemiyetide kuruldu.[31]Paranın değer kaybetmesi karşısında halkın satın alma gücü azaldı. Büyük Buhran'ın başlıca sonuçları şunlardır:"
Ekonomi,Devletçilik politikası,"İktisat kongreleri ve sanayi kanunları ile istenilen sanayileşmenin sağlanamaması ve Büyük Buhran'ın Türkiye'ye yansıması neticesinde halkın refahının ciddi anlamda düşmesi, gerekli yatırımların kamu gücü ile yapılmasına dair görüşlerin ağırlık kazanmasına yol açtı.Türkiye'de tek partili dönem'in yaşandığı bir süreçteCHP'nin 1931 yılında düzenlenen kongresinde alınan kararladevletçilikilkesi partinin ana ilkelerinden biri hâline geldi. 1937 yılında daanayasa'ya eklendi. Devlet, ekonomide yol gösterici ve emredici bir rol üstlendi."
Ekonomi,Ekonomi Planlaması,"1930 yılında düzenlenen Sanayi Kongresi'nde kalkınmanın gereğinin sanayileşme olduğu, sanayileşmenin bir zorunluluk olduğu ve bu yolla iktisadi bağımsızlığın sağlanabileceği görüşü benimsendi. 1930'da Dışişleri BakanıTevfik Rüştü Aras, 1932'de Başbakanİsmet İnönübaşkanlığındaki bürokrasi kesiminden heyetlerin Sovyetler Birliği veİtalya'ya düzenlediği geziler Türkiye'nin ekonomik, siyasal ve kültürel alanında etkili oldu. Bu dönemde Avrupa ülkeleri veSovyetler Birliği'nin uyguladığı planlama çalışmaları Türkiye'nin de ilgisini çekti. Avrupa'da uygulanmakta olan politikaların kapitalizmin sorunlarına yönelik olduğu, bu sebeple Sovyetlerin uyguladığı (bkz.Birinci Beş Yıllık Plan (Sovyetler Birliği)) merkezi planlama ile kalkınma modelinin Türkiye'nin ekonomik yapısına ve ihtiyaçlarına daha yakın olduğu görüşü özelliklekadrohareketi içinde hakim oldu."
Ekonomi,Osmanlı borçları antlaşmaları,"22 Nisan 1933'teFransaile ""1933 Paris Borç İtilafnamesi"" imzalandı."
