category,title,content
Ekonomi,1946 krizi,"İkinci Dünya Savaşı döneminde Türkiye'de üretim hızla gerilemiş, tarıma dayalı ekonomide genç nüfusun askere alınması ve teçhizat yetersizliği nedeniyle 1945 yılı tarımsal hasılası önemli derecede gerilemiştir. Fiyatlar genel düzeyinin aşırı yükselmesi üzerine, 18.01.1940 tarihinde yürürlüğe 3780 sayılı ""Millî Korunma Kanunu"" girmiş ve o dönemin koşulları altında hükûmete olağanüstü yetkiler verilmiştir. Bu kanun, hükûmete, fabrikalarda üretilen malların değer fiyatını ödemek şartıyla el koyup stok etme, fabrikalara el koyup işletme, işçilere mecburi mükellefiyet yükleme, malların fiyatlarını saptama, mamulleri muayyen usullere tevzi etme, halkın ihtiyaçlarıyla ilgili iktisadi ve ticari faaliyette bulunmak üzere devlet müesseseleri kurmak gibi çok geniş yetkiler vermiştir. Bu dönemdeki ender olumlu gelişme olarak göze çarpan ise, savaş koşullarında artan stratejik maden talebi sonucu madencilik, elektrik, gaz ve su hasılalarında bir miktar artış olmasıdır.[1]Savaş dönemi boyunca hasıla gerilemesine rağmen tasarruf düzeyi önemli ölçüde artmıştır."
Ekonomi,1958 krizi,"1930-1945 döneminde (1938 hariç) fazla veren dış ticaret dengesi bu dönemde önemli ölçüde bozulmuştur. 1950-1960 yılları arasında, özel sermaye, öncelikle büyük ticaret ve tarım burjuvazisinin elinde birikmeye başladı. Liberalizasyon politikası sonucu ithalatın sürekli artması ve ihracat gelirlerindeki yetersizlik dış ticaret açıklarına sebep olmuş ve dış borçlar sürekli artmıştır. 1958 yılına gelindiğinde, Türkiye artık dış borç anapara ve faiz ödemelerinde zorluk çekmeye başlamış ve dış borçlardamoratoryuma(borç erteleme) gitmek zorunda kalmıştır. Liberal politikalar bu dönemde ülkede sanılanın aksine yüksek enflasyon, bütçe açıkları ve dış ticaret açıklarına yol açmıştır. Sabit kur politikası uygulamasının başarısız olması, ithalatın artması, 1954'ten sonra tarımsal üretimin düşmesi, büyüme hızının yavaşlaması, enflasyon hızının yükselmesi, döviz sıkıntısı ortaya çıkması ve ABD'nin dış yardımlarını kısması sonucu Türkiye ilk kez ve en kapsamlıistikrar kararlarını1958 yılında yürürlüğe koymuştur.[2]"
Ekonomi,Petrol krizleri (1974 ve 1980),"Küresel ölçekte 1974 yılında meydana gelen petrol fiyatlarında yaklaşık 4 kat artış (I. Petrol Krizi) ekonomileri olumsuz etkilemiş.Stagflasyonolgusu ortaya çıkmıştır. Tarihte ilk kez enflasyon ile işsizliğin bir arada artması geçmiş yıllarda ekonomi politikalarında uygulanan teorilerin terk edilmesine yol açmıştır.[3]Keynes teorileri on yılın sonundan itibaren yerini arza dayalı politikalara bırakmasına yol açmıştır. 1974 yılında yaşanan bu ilk dalga krizler Kıbrıs Barış Harekâtı ve Türkiye'ye uygulanan ambargonun da etkisiyle, ülke ekonomisinde başta altyapı olmak üzere ekonomik darboğazlara girilmiştir. Bu dönemde ithal ikameci politikalar beklenenin aksine, ithal ikameci sanayileşmenin dışa bağımlılığı sonucu ithalat artışı ve az gelişmiş ülkelerin toptan ithal ikameci politika izlemesi sonucu az gelişmiş ülkelerin dış açıklarının genişlemesi söz konusu olmuştur. Türkiye'de de dış açık genişlemiş ve ödemeler dengesi sürekli açık vermiştir."
Ekonomi,1980 sonrası genel görünüm,"1980'li yıllardaTürkiye'de ekonomi politikası, içe dönük veithal ikamecibüyüme stratejisinden dışa dönük veserbest piyasamekanizmasına dayanansanayileşmepolitikasına kaymıştır. 1981 yılına kadarsabit kuruygulanmış, 1988 yılından itibaren kurlar bankalar arası döviz ve efektif piyasası koşulları tarafından belirlenmiştir. 1984 yılında döviz tasarruflarına getirilen kolaylıklar,döviztevdiyat hesaplarında artışa neden olmuştur. 1989 yılında 32 Sayılı Kararname ile birlikte finansal serbestleşmeye geçilmesi ve sermaye hareketleri üzerindeki kısıtlamaların kaldırılması, ülkeye yönelik sıcak para şeklindeki sermaye hareketlerine hız kazandırmıştır. Finansal serbestleşme politikaları ve kamu kesimi borcu sonucu yükselen faiz oranları, sermayenin spekülatif olarak reel sektörden finans sektörüne kaymasına neden olmuştur. Türkiye'de 1990'lardan sonra yaşanan krizler dışa açık bir ekonomide yaşanan krizlerdir. Sermaye hareketleri serbesttir ve kısa vadeli yabancı sermaye finansmanına dayanan yüksek faiz-düşükkurpolitikası uygulanmıştır. Büyüme dönemleri kısa vadeli sermaye girişleri ile desteklenmiştir. 1994 ve 2001 Krizleri'nde dikkat çeken unsur bu iki krizin sermaye hareketlerinin serbestleştirilmesinden sonra gerçekleştiğidir. Krizlerin derinleşmesinde uygulanan bu politikaların da etkisi olduğu görülmüştür. Finansal piyasalardaki istikrarsızlıklar, beklentilerdeki kötümserlik ve güven eksiklikleri spekülatif atak oluşturarak,Merkez Bankası’nın rezervlerinin azalmasına neden olmaktadır. Yaşanan bu kriz dönemlerindeTL’ye olan güven sarsılmış ve yabancı paralarla ikame seviyesinde önemli artışlar yaşanmıştır. Türkiye’de 1994 ve Şubat 2001 Krizleri’nde spekülatif saldırılar Merkez Bankası’nın rezervlerini azaltmış ve uygulanan kur sistemi terk edilerek TL’nindevalüeedilmesine neden olmuştur.[4]"
Ekonomi,1982 Bankerler Krizi,"Bankeradı verilen kuruluşlar arasında ortaya çıkan faiz yükseltmeleri, bir süre sonra bankerleri borç alınan paraların faizinin ödenmesi için, sonradan daha yüksek faiz ile borçlanılmak zorunda bırakır. Böyle bir ortamda sürekli olarak faiz yükseltme davranışı ortaya çıkmıştır. 1982 yılında “Bankerler Krizi” serbest faiz politikasının ve banker iflaslarının, bireysel bankaların uygulamaları ile yönetim tarzlarının birleşmesinin bir sonucu olarak yaşanmıştır.[5]"
Ekonomi,1990 Körfez Krizi,Türkiye ekonomisinin dış etkilerle şekillenen ilk krizi 1990 yılındaki Körfez Krizi'dir. Birleşmiş Milletler'in Irak ve Kuveyt'e müdahaleleri ile şekillenenKörfez Savaşıbu krizin önemli olaylarındandır.
Ekonomi,Nisan 1994 krizi,"Türkiye, 90'lı yıllardaki en derin krizini 1994 yılında yaşamıştır. 1994 öncesinde kamu kesimi faiz dışı harcamaları, kamu gelirlerinden daha fazla açık vermiş,[6]Kamukesimi kazandığından daha fazlasını harcamıştır. Kamu borçlarının Merkez Bankası ile finanse edilmesi sonucunda Türkiye ilk defahiper enflasyonuyaşamış, ardından yapılan kısmi; ama yeterli olmayan iyileşmeler neticesinde Türkiye krizden çıkabilmiştir."
Ekonomi,2000 krizi,Türkiye 2000'li yılların sonlarına doğru küçük çapta bir kriz geçirmiştir.
Ekonomi,2001 krizi,"2001 Türkiye ekonomik kriziya daKara Çarşamba,Türkiyetarihinin en büyük ekonomik krizlerinden biridir.Millî Güvenlik Kurulutoplantısında cumhurbaşkanıAhmet Necdet Sezerile başbakanBülent Ecevitarasındaki siyasi kriz bir anda tüm ülkeyi etkisi altına alan ekonomik bir krize dönüşmüştür. Türkiye'nin Şubat 2001 finansal krizi, beklenmedik ölçüde ekonomik daralmayla sonuçlanmanın ötesinde, ülkenin orta vadeli perspektifini değiştiren yeni koşulları da beraberinde getirmiştir.[7]"
Ekonomi,2008 küresel ekonomik krizi,"2008 Ekonomik Krizi, 2008 yılının son aylarında ortaya çıkan ve dünyanın birçok ülkelerini olumsuz yönde etkileyen ekonomik gelişmelerdir.1929 Dünya Ekonomik Bunalımıylakıyaslanan bu kriz özellikle Eylül 2008 ayında gözle görülür hale gelmiştir. ABD'dekitaşınmaz malpiyasasının birden değer kaybetmesi ve bunun sonucu olaraktutulu satışlardakikişisel iflasların artmasının bu krizi tetiklediği sanılmaktadır.[11]"
Ekonomi,2018-günümüz ekonomik krizi,"2018-günümüz ekonomik krizi, Türkiye'de devam eden vefinansal bulaşmayüzünden uluslararası yansımaları olan Türkiye tarihinin ekonomik krizlerinden biridir.Türk lirasınınrekor değer kaybı, çok yüksekenflasyonve karşılık gelen kredi temerrütleriyle karakterize olup krizin genel olarak,Türkiye ekonomisindekien yüksekcari açıkve yabancı para borcunun,faizpolitikasına ilişkin alışılmışın dışında atılımlar ile birleştiği düşünülmektedir.""How Turkey fell from investment darling to junk-rated emerging market"".The Economist. 19 Mayıs 2018. 12 Haziran 2018 tarihinde kaynağındanarşivlendi. Erişim tarihi: 5 Şubat 2020."
