category,title,content
Savaşlar,1996 Tunceli saldırısı,"1996 Tunceli saldırısı, 30 Haziran 1996 tarihinde Tunceli'nin merkez ilçesinde yer alan Tunceli Cumhuriyet Meydanı'nda bayrak töreni için toplanan altmış kişilik askerî birliğe yönelik düzenlenen intihar saldırısıdır. Zeynep Kınacı olduğu saptanan canlı bomba dahil olmak üzere Astsubay Ali Alıç, Astsubay Cafer Akıncı, Astsubay Hakan Akyar, Er Celal Hatıl, Er İbrahim Sever, Astsubay Önder Yağmur, Er Ahmet Yayman ve Er Yusuf Yıldırım adlı sekiz bandocu asker yaşamını yitirmiş, 29 asker de yaralı kurtulmuştur. Olay, Türkiye'de meydana gelen ilk canlı bomba saldırısı olarak tarihe geçmiştir.[1][2][3]"
Savaşlar,1996 Adana saldırısı,"1996 Adana saldırısı, 25 Ekim 1996'da Türkiye'nin Adana ilinin Seyhan ilçesinde, Adana Emniyet Çevik Kuvvet Müdürlüğü nizamiyesine yaklaşan PKK mensubu Leyla Kaplan'ın üzerindeki patlayıcıları infilak ettirmesiyle gerçekleştirilen intihar saldırısı. Patlama sonucunda saldırganın yanı sıra üçü polis ile biri olay sırasında yakınlarda bulunan sivil olmak üzere toplam 5 kişi öldü; 18 kişi ise saldırıdan yaralı olarak kurtuldu."
Savaşlar,1996 Sivas saldırısı,"1996 Sivas saldırısı, 29 Ekim 1996'da Türkiye'nin Sivas şehrinde, PKK mensubu Güler Otaş'ın polis aracı ile nakledilmesi sırasında üzerindeki bombayı patlatmasıyla gerçekleştirilen intihar saldırısı. Patlama sonucunda Güler Otaş'ın yanı sıra PKK mensubu Hacı Can ile 3'ü polis 1'i sivil olmak üzere toplam 6 kişi öldü; 10 kişi ise saldırıdan yaralı olarak kurtuldu."
Savaşlar,PKK saldırı ve çatışmaları listesi (1990'lar),"10 Mart 1990 - Şırnak'ın Atbaşı köyüne PKK'lılar baskın düzenledi: Bir köy korucusu öldü, bir köy korucusu ağır yaralandı.[kaynak belirtilmeli] Hayatını kaybeden Halil Arasan ve ağır yaralanan köy korucusu Halit Yiğit, Diyarbakır Devlet Hastanesine kaldırıldı. Kısa bir süre sonra da köylüler köyden kaçmak zorunda kaldı. [kaynak belirtilmeli]"
Savaşlar,PKK saldırı ve çatışmaları listesi (1990'lar),"10 Mart 1990 - Şırnak'ın Atbaşı köyüne PKK'lılar baskın düzenledi: Bir köy korucusu öldü, bir köy korucusu ağır yaralandı.[kaynak belirtilmeli] Hayatını kaybeden Halil Arasan ve ağır yaralanan köy korucusu Halit Yiğit, Diyarbakır Devlet Hastanesine kaldırıldı. Kısa bir süre sonra da köylüler köyden kaçmak zorunda kaldı. [kaynak belirtilmeli]"
Savaşlar,1998 Van saldırısı,"1998 Van saldırısı, 24 Aralık 1998'de Türkiye'nin Van şehrinde, askerî personelin çocukları olan lise öğrencilerini taşıyan askerî servis aracı hareket etmek üzereyken araca yaklaşan PKK mensubu Hamdiye Kapan'ın üzerindeki patlayıcıları infilak ettirmesiyle gerçekleştirilen intihar saldırısı. Patlama sonucunda saldırganın yanı sıra bir öğrenci öldü, aralarında asker, öğretmen, öğrenci ve diğer sivillerin olduğu 21 kişi ise saldırıdan yaralı olarak kurtuldu."
Savaşlar,PKK saldırı ve çatışmaları listesi (1990'lar),"10 Mart 1990 - Şırnak'ın Atbaşı köyüne PKK'lılar baskın düzenledi: Bir köy korucusu öldü, bir köy korucusu ağır yaralandı.[kaynak belirtilmeli] Hayatını kaybeden Halil Arasan ve ağır yaralanan köy korucusu Halit Yiğit, Diyarbakır Devlet Hastanesine kaldırıldı. Kısa bir süre sonra da köylüler köyden kaçmak zorunda kaldı. [kaynak belirtilmeli]"
Savaşlar,PKK saldırı ve çatışmaları listesi (1990'lar),"10 Mart 1990 - Şırnak'ın Atbaşı köyüne PKK'lılar baskın düzenledi: Bir köy korucusu öldü, bir köy korucusu ağır yaralandı.[kaynak belirtilmeli] Hayatını kaybeden Halil Arasan ve ağır yaralanan köy korucusu Halit Yiğit, Diyarbakır Devlet Hastanesine kaldırıldı. Kısa bir süre sonra da köylüler köyden kaçmak zorunda kaldı. [kaynak belirtilmeli]"
Savaşlar,PKK saldırı ve çatışmaları listesi (1990'lar),"10 Mart 1990 - Şırnak'ın Atbaşı köyüne PKK'lılar baskın düzenledi: Bir köy korucusu öldü, bir köy korucusu ağır yaralandı.[kaynak belirtilmeli] Hayatını kaybeden Halil Arasan ve ağır yaralanan köy korucusu Halit Yiğit, Diyarbakır Devlet Hastanesine kaldırıldı. Kısa bir süre sonra da köylüler köyden kaçmak zorunda kaldı. [kaynak belirtilmeli]"
Savaşlar,PKK saldırı ve çatışmaları listesi (1990'lar),"10 Mart 1990 - Şırnak'ın Atbaşı köyüne PKK'lılar baskın düzenledi: Bir köy korucusu öldü, bir köy korucusu ağır yaralandı.[kaynak belirtilmeli] Hayatını kaybeden Halil Arasan ve ağır yaralanan köy korucusu Halit Yiğit, Diyarbakır Devlet Hastanesine kaldırıldı. Kısa bir süre sonra da köylüler köyden kaçmak zorunda kaldı. [kaynak belirtilmeli]"
Savaşlar,PKK saldırı ve çatışmaları listesi (1990'lar),"10 Mart 1990 - Şırnak'ın Atbaşı köyüne PKK'lılar baskın düzenledi: Bir köy korucusu öldü, bir köy korucusu ağır yaralandı.[kaynak belirtilmeli] Hayatını kaybeden Halil Arasan ve ağır yaralanan köy korucusu Halit Yiğit, Diyarbakır Devlet Hastanesine kaldırıldı. Kısa bir süre sonra da köylüler köyden kaçmak zorunda kaldı. [kaynak belirtilmeli]"
Savaşlar,PKK saldırı ve çatışmaları listesi (1990'lar),"10 Mart 1990 - Şırnak'ın Atbaşı köyüne PKK'lılar baskın düzenledi: Bir köy korucusu öldü, bir köy korucusu ağır yaralandı.[kaynak belirtilmeli] Hayatını kaybeden Halil Arasan ve ağır yaralanan köy korucusu Halit Yiğit, Diyarbakır Devlet Hastanesine kaldırıldı. Kısa bir süre sonra da köylüler köyden kaçmak zorunda kaldı. [kaynak belirtilmeli]"
Savaşlar,2001 Şişli İlçe Emniyet Müdürlüğü saldırısı,"2001 Şişli İlçe Emniyet Müdürlüğü saldırısı, 3 Ocak 2001'de İstanbul'un Şişli ilçesindeki Şişli İlçe Emniyet Müdürlüğüne, kendisini iş insanı olarak tanıtarak giren Devrimci Halk Kurtuluş Partisi-Cephesi mensubu Gültekin Koç'un, İlçe Emniyet Müdürü Selçuk Tanrıverdi'nin odasına giderken dördüncü katta karşılaştığı Tanrıverdi'nin makam şoförünün kendisini durdurması üzerine paniğe kapılması ve üzerindeki patlayıcıları infilak ettirmesiyle gerçekleştirilen intihar saldırısı. Patlama sonucunda saldırganla birlikte bir sivil öldü, 7 kişi yaralandı."
Savaşlar,2001 Gümüşsuyu saldırısı,"2001 Gümüşsuyu saldırısı, 10 Eylül 2001'de Türkiye'nin İstanbul şehrinin Beyoğlu ilçesindeki Gümüşsuyu semtinde, kontrol noktasında bulunan polislerin arasına giren Devrimci Halk Kurtuluş Partisi-Cephesi mensubu Uğur Bülbül'ün üzerindeki patlayıcıları infilak ettirmesiyle gerçekleştirilen intihar saldırısı. Patlama sonucunda saldırganla birlikte iki polis ve yoldan geçmekte olan bir sivil öldü, 23 kişi ise yaralandı."
Savaşlar,2003 Hür ve Kabul Edilmiş Masonlar Büyük Locası saldırısı,"9 Mart 2004'te, İstanbul'un Kartal ilçesindeki Hür ve Kabul Edilmiş Masonlar Büyük Locası binasına giren iki saldırganın güvenlik görevlisini yaralaması sonrasında üzerindeki patlayıcıları infilak ettirmesiyle bir intihar saldırısı gerçekleştirildi. El-Kaide'nin Türkiye yapılanması mensubu Engin Vural ile Nihat Doğruel'in gerçekleştirdiği tespit edilen saldırıdan Vural yaralı olarak kurtulurken, ölen kişi ve yaralananların tamamı sivildi.[1][2] İstanbul 9. Ağır Ceza Mahkemesi'nde görülen dava sonucunda 4 sanığa müebbet hapis cezası verildi.[3]"
Savaşlar,2003 İstanbul saldırıları,"15 ve 20 Kasım 2003 tarihlerinde, İstanbul'un dört noktasında, her günde iki patlayıcı yüklü kamyonetin infilak ettirilmesiyle dört intihar saldırısı gerçekleştirildi. 15 Kasım günü yerel saatle 9.30 (UTC+02.00) civarında Şişli'deki Bet İsrael Sinagogu, 9.34 civarında ise Beyoğlu'ndaki Neve Şalom Sinagogu'nun önünde birer kamyonet infilak etti. Patlamalar sonucunda saldırganlar dâhil 26 kişi öldü, 300'den fazla kişi yaralandı. Olaydan beş gün sonra, 20 Kasım günü, yine patlayıcı yüklü kamyonetlerle 10.55 civarında Beyoğlu'ndaki Birleşik Krallık'ın İstanbul Başkonsolosluğu binasına, 11.00 civarında ise Beşiktaş'taki HSBC Genel Merkezi binasına birer saldırı düzenlendi. İkinci saldırılarda 31 kişi ölürken 450'nin üzerinde kişi yaralandı. Toplamda ise 4 saldırgan dâhil 57 kişi öldü, 750'den fazla kişi saldırılardan yaralı olarak kurtuldu."
