category,title,content
Siyasi,2000 UEFA Kupası yarı final olayları,2000 UEFA Kupası yarı final olayları 5 Nisan 2000'de 1999-2000 UEFA Kupası'nın yarı finalinin ilk maçından önce Leeds United ve Galatasaray taraftarlarının birbirlerine saldırması olayıdır. Saldırı iki Leeds United taraftarının Galatasaraylılar tarafından bıçaklanarak öldürülmesiyle sonuçlandı. Kavganın sonucunda dört kişi cinayetten dolayı suçlu bulundukları için tutuklandı. Yarı finalin ilk maçı İstanbul'da yapılmıştı. İkinci maç Leeds'de yapılacaktı. Leeds'deki maçta karşı tarafın saldırma ihtimalini göz önünde bulunduran UEFA maça Galatasaray taraftarı alınmamasını kararlaştırdı. Bu da İngiltere'de tepkilere yol açtı.
Siyasi,Fındıcak İsyanı,Fındıcak Ayaklanması altı yüz kadar Ermeni isyancı tarafından Maraş'la Bahçe kazası arasında bulunan Ayvacık yaylasına yakın Fındıcak karyesinde 1915 yılının Temmuz ayında çıkartılan ayaklanma girişimidir.
Siyasi,Gazi Mahallesi olayları,Gazi Mahallesi olayları ya da Gazi Katliamı[2] 12 Mart 1995 tarihinde Gazi Mahallesi'nde bulunan Alevilerin çoğunlukta olduğu bir kahvehaneye durdurdukları bir taksi şoförünü öldürerek aynı taksiyle kahvehanedeki sivillere yönelik kimliği belirsiz kişilerce gerçekleştirilen silahlı provokatif saldırı sonucu başlayan ve şehrin diğer bölgelerine yayılan olaylar. 15 Mart 1995'e dek kent geneline yayılan olaylar sonucunda 22 kişi ölmüş yüzlerce kişi yaralanmış ve tutuklanmıştır.[1]
Siyasi,İstanbul Havalimanı protestoları,İstanbul Havalimanı protestoları İstanbul Havalimanı'nın yapımı aşamasında inşaat işçileri tarafından kötü çalışma koşulları sebebiyle 14 Eylül 2018 tarihinde başlatılan protesto eylemidir.[3] 29 Ekim'deki açılışa yetiştirilmeye çalışılan havalimanı inşaatının şantiyesinde başlayan eylemi İnşaat ve Yapı İşçileri Sendikası (İYİ-SEN) Twitter hesabından duyurdu. İşçiler sabah saatlerinde şantiye önünde toplanıp servislerin çıkışına engel olarak tepkilerini dile getirdi. Şantiyedeki yemek ve barınma olanaklarının kötü olduğu çalışmalar sırasındaki iş kazalarında meydana gelen ölüm ve yaralanmaların kamuoyundan saklandığı dile getirildi. Eylem yapan işçiler yönetime 15 maddelik bir talep hazırlayarak yönetime sundu.
Siyasi,Kanlı Pazar (1969),Kanlı Pazar 16 Şubat 1969 tarihinde İstanbul Taksim Meydanı'nda ABD'nin 6. Filo'sunu protesto etmek için 76 gençlik örgütünün toplandığı sırada meydana gelen olaylardır. Tarihçi Feroz Ahmad ise olayı "organize bir faşist şiddet örneği" olarak nitelemiştir.[
Siyasi,Kamışlı Olayı,Kamışlı Olayı Kamışlı Ayaklanması[1] ya da Kamışlı Katliamı [2] Suriye'de 2004 yılında gerçekleşen futbol maçı sırasında ortaya çıkan protesto gösterilerinin ardından 52 kişinin yaşamını yitirmesi ile sonuçlanan olay.
Siyasi,Dersim İsyanı,Dersim İsyanı Dersim'de 1937-1938 yıllarında Türk Hükûmetiyle bazı Dersim aşiretleri[1][8] arasında bölgenin hâkimiyeti ile ilgili çıkan anlaşmazlıklar sonucu yaşanan olaylara verilen isimdir. Dersim'de (Tunceli Erzincan Elazığ Sivas Malatya ve Bingöl illerinin bir kısmı)[9] aşiretlerin isyanı sonucunda mutlak devlet hâkimiyetini sağlamak için Türk Silahlı Kuvvetleri tarafından aşiretler üzerine Dersim Harekâtı düzenlendi. Bölgedeki isyancıların önemli kısmını 1920'de Sivas'ın Zara ve İmranlı ilçelerinden gelerek bölgeye sığınan isyancılar oluşturuyordu.[10][11][12] Harekât neticesinde sayılar hakkında birçok iddia bulunurken yaygın kanı olarak 11.683 kişi göçe tâbi tutulurken 1.401 kişi öldürülmüştür.[13]
Siyasi,Üçüncü Ağrı Harekâtı,Üçüncü Ağrı Harekâtı ya da Üçüncü Ağrı Ayaklanması 11 Haziran 1930'da Türk ordusu ayaklanmaya karşılık verdi. Hoybun örgütü bu ayaklanma için diğer Kürtlerin acilen destek çağrısında bulundu. Bu ayaklanma çoğunluğu Kırmanci Kürtlerinden olanlar tarafından yapılmıştır. Kirmancilerin sayısı Dersimlilerin sayısından fazlaydı. Çünkü Hoybun'un çağrısına Türk askeri Iğdır Sipan Dağı Van civarında ani karşılık vermiştir ve destek çok küçük bir alanda olmuştur. Türkler geçici olarak Ağrı'ya yaptıkları hücumu durdurmuşlardır. İsyancılar çok fazla sayıda olan Türk askerlerince bertaraf edilmişlerdir.[1][
Siyasi,Oramar Ayaklanması,Oramar Ayaklanması ya da Oramar İsyanı 16 Temmuz 1930'da başlayıp 10 Ekim 1930'da biten Şeyh Ahmed Barzani'ye bağlı Molla Hüseyin Şerif komutasındaki 500 kişilik Kürt silahlı kuvvetinin Dağlıca köyünde bulunan Oramar taburuna saldırmaları sonucu başlayan isyan. İsyan bazı Kürt aşiretlerinin Türk askerleriyle birlikte direnmesi ve Türk Ordusunun havadan bombardımana başlaması üzerine Kürt kuvvetlerinin Irak'a çekilmesiyle son bulmuştur.[1][2][3]
Siyasi,Tutaklı Ali Can isyanı,Tutakli Alican İsyani (Kürtçe: Serhildana Berazan û Seyîdan) 1930 senesinde günümüzün Tutak (Ağrı) Bulanık (Muş) Karaçoban Köprüköy Hınıs ve Karayazı (Erzurum) ilçelerinde Ağrı ayaklanmaları'na destek amaçlı meydana gelen yerel bir ayaklanmadır[1] Bu ayaklanma Berazî ve Hasenan (Seyîdan) aşiretlerince desteklenir.
