category,title,content
Siyasi,1923 Türkiye cumhurbaşkanlığı seçimi,"1923 Türkiye Cumhurbaşkanlığı seçimi, 29 Ekim 1923 tarihinde Türkiye Büyük Millet Meclisinde yapılan cumhurbaşkanlığı seçimidir. Cumhuriyet'in ilan edilmesinden hemen sonra yapılan seçimlere 333 milletvekilinin 158'i katıldı. TBMM Başkanı Mustafa Kemal Paşa 1. turda katılanların oy birliğiyle kurucu cumhurbaşkanı seçildi.[1]"
Siyasi,1927 Türkiye cumhurbaşkanlığı seçimi,"1927 Türkiye cumhurbaşkanlığı seçimi, 1 Kasım 1927 tarihinde Türkiye Büyük Millet Meclisinde yapılan Cumhurbaşkanlığı seçimidir.[1] III. Dönem TBMM üyelerinin seçiminden hemen sonra yasa gereği yapılan seçimlere 316 milletvekilinin 288'i katılmış ve mevcut Cumhurbaşkanı Mustafa Kemal Atatürk 1. turda oy birliğiyle tekrar Cumhurbaşkanı seçilmiştir.[1]"
Siyasi,1931 Türkiye cumhurbaşkanlığı seçimi,"1931 Türkiye cumhurbaşkanlığı seçimi, 4 Mayıs 1931 tarihinde Türkiye Büyük Millet Meclisinde yapılan cumhurbaşkanlığı seçimidir.[1] IV. Dönem TBMM üyelerinin seçiminden hemen sonra yasa gereği yapılan seçimlere 317 milletvekilinin 289'u katıldı. Mevcut Cumhurbaşkanı Mustafa Kemal Atatürk 1. turda oy birliğiyle yeniden cumhurbaşkanı seçildi.[2]"
Siyasi,1935 Türkiye cumhurbaşkanlığı seçimi,"1935 Türkiye cumhurbaşkanlığı seçimi, 1 Mart 1935 tarihinde Türkiye Büyük Millet Meclisinde yapılan Cumhurbaşkanlığı seçimidir.[1] V. Dönem TBMM üyelerinin seçiminden hemen sonra yasa gereği yapılan seçimlere 399 milletvekilinin 386'sı katıldı. Mevcut Cumhurbaşkanı Mustafa Kemal Atatürk 1. turda oy birliğiyle yeniden Cumhurbaşkanı seçildi.[2]"
Siyasi,1938 Türkiye cumhurbaşkanlığı seçimi,"1938 Türkiye cumhurbaşkanlığı seçimi, 11 Kasım 1938 tarihinde Türkiye Büyük Millet Meclisinde yapılan cumhurbaşkanlığı seçimidir. Cumhurbaşkanı Mustafa Kemal Atatürk'ün 10 Kasım 1938 tarihindeki ölümünden 1 gün sonra olağanüstü toplanan TBMM'de yapılan seçimlere 399 milletvekilinin 348'i katıldı. TBMM Malatya milletvekili İsmet İnönü 1. turda oy birliğiyle cumhurbaşkanı seçildi.[1]"
Siyasi,1939 Türkiye cumhurbaşkanlığı seçimi,"1939 Türkiye cumhurbaşkanlığı seçimi, 3 Nisan 1939 tarihinde Türkiye Büyük Millet Meclisinde yapılan Cumhurbaşkanlığı seçimidir. VI. Dönem TBMM üyelerinin seçiminden hemen sonra yasa gereği yapılan seçimlere 413 milletvekilinin 249'u katıldı. Mevcut Cumhurbaşkanı İsmet İnönü 1. turda oy birliğiyle tekrar Cumhurbaşkanı seçildi.[1]"
Siyasi,1943 Türkiye cumhurbaşkanlığı seçimi,"1943 Türkiye cumhurbaşkanlığı seçimi, 8 Mart 1943 tarihinde Türkiye Büyük Millet Meclisinde yapılan Cumhurbaşkanlığı seçimidir. VII. Dönem TBMM üyelerinin seçiminden hemen sonra yasa gereği yapılan seçimlere 455 milletvekilinin 435'i katıldı. Mevcut Cumhurbaşkanı İsmet İnönü 1. turda oy birliğiyle yeniden Cumhurbaşkanı seçildi.[1]"
Siyasi,1946 Türkiye cumhurbaşkanlığı seçimi,"1946 Türkiye cumhurbaşkanlığı seçimi, 5 Ağustos 1946 tarihinde Türkiye Büyük Millet Meclisinde yapılan Cumhurbaşkanlığı seçimidir. VIII. Dönem TBMM üyelerinin seçiminden hemen sonra yasa gereği yapılan seçimlere 465 milletvekilinin 451'i katıldı. İlk defa birden çok adayın yarıştığı seçimleri Mevcut Cumhurbaşkanı İsmet İnönü 1. turda 388 oy alarak tekrar kazandı.[1]"
Siyasi,1950 Türkiye cumhurbaşkanlığı seçimi,"1950 Türkiye cumhurbaşkanlığı seçimi, 22 Mayıs 1950 tarihinde Türkiye Büyük Millet Meclisinde yapılan cumhurbaşkanlığı seçimidir. IX. Dönem TBMM üyelerinin seçiminden hemen sonra yasa gereği yapılan seçimlere 487 milletvekilinin 453'ü katıldı. Demokrat Parti Genel Başkanı Celâl Bayar 1. turda 387 oyla cumhurbaşkanlığına seçildi. Mevcut cumhurbaşkanı ve CHP Genel Başkanı İsmet İnönü 66 oyla seçimleri kaybetti."
Siyasi,1954 Türkiye cumhurbaşkanlığı seçimi,"1954 Türkiye cumhurbaşkanlığı seçimi, 14 Mayıs 1954 tarihinde Türkiye Büyük Millet Meclisinde yapılan Cumhurbaşkanlığı seçimidir. X. Dönem TBMM üyelerinin seçiminden hemen sonra yasa gereği yapılan seçimlere 541 milletvekilinin 513'ü katıldı. Mevcut Cumhurbaşkanı Celal Bayar 1. turda 486 oyla yeniden cumhurbaşkanlığına seçildi.[1]"
