category,title,content
Kültürel,Beşikdüzü Şenliği,"Beşikdüzü Kültür, Sanat ve Deniz Festivali, Trabzon'un Beşikdüzü ilçesinde 2001 yılından itibaren her yıl düzenlenen bir festivaldir."
Kültürel,Beypazarı Festivali,"Beypazarı Festivali, Ankara'nın Beypazarı ilçesinde, her yıl Haziran ayının ilk haftasında düzenlenen festival. Festivalin tam adı, Uluslararası Beypazarı ve Yöresi Festivali'dir."
Kültürel,Bilecik'in Düşman İşgalinden Kurtuluşu ve Şeyh Edebalı Kültür Şenlikleri,"Şeyh Edebalı'yı Anma ve Ahilik Haftası,[1] Bilecik'te eylül ayının ilk haftası gerçekleştirilen kültürel etkinlik."
Kültürel,Çağlak Festivali,"Çağlak Festivali, Manisa'nın Akhisar ilçesinde gerçekleştirilen bir kültür festivalidir. İlki 1459 yılında gerçekleştirildiği varsayılan festival, günümüzde Akhisar Belediyesi tarafından mayıs ayı içerisinde organize edilmektedir.[1][2] Festival, Kırkpınar Yağlı Güreşleri'nden sonra Türkiye'de gerçekleştirilen en eski ikinci festivaldir.[3]"
Kültürel,Ertuğrul Gazi'yi Anma ve Söğüt Şenlikleri,Yörük Bayramı veya Ertuğrul Gazi'yi Anma ve Söğüt Şenlikleri; her yıl Eylül ayında Bilecik ilinin Söğüt ilçesinde düzenlenen geleneksel şenliklerdir.[1]
Kültürel,Marioba,"Marioba veya Mariamoba (Gürcüce: მარიობა veya მარიამობა), Türkiye'de Şavşat ilçesinde ve Gürcistan'da Cavaheti bölgesindeki Gürcülerin kutladığı bir bayram veya şenliktir."
Kültürel,Pir Sultan Abdal Şenlikleri,"Pir Sultan Abdal Şenlikleri ya da tam adıyla Pir Sultan Abdal Geleneksel Kültür Etkinlikleri; her sene Haziran ayının sonu ile Temmuz ayının başında düzenlenen şenlik. Halk ozanı Pir Sultan Abdal adına düzenlenen etkinlik, ozanın doğum yeri olan Sivas'ın Yıldızeli ilçesine bağlı Banaz köyünde gerçekleştirilir."
Kültürel,Sudan Koyun Geçirme Festivali,"Aşağıseyit Sudan Koyun Geçirme ve Çoban Bayramı  veya Koyun olimpiyatı, Denizli'nin Çal ilçesine bağlı Aşağıseyit köyünde her  yıl Ağustos ayında gerçekleşen, Yörük kültürünü yansıtan bir etkinliktir."
Kültürel,Türkiye Kültür Yolu Festivali,"Türkiye Kültür Yolu Festivali, Türkiye Cumhuriyeti Kültür ve Turizm Bakanlığı tarafından, 2021 yılından itibaren[1] Türkiye'nin çeşitli illerinde düzenlenmeye başlanmış bir kültür festivalidir. Türkiye'nin uluslararası marka değerini yükseltmek ve tarihî ve kültürel birikimleri cazibe merkezi hâline getirmek amacıyla düzenlenmektedir.[2]"
Kültürel,Uluslararası Arhavi Kültür ve Sanat Festivali,"Arhavi Kültür ve Sanat Festivali, ilk kez 1973 yılında dönemin Arhavi Kaymakamı Erol Ertuğrul tarafından gündeme getirildi. Belediye başkanı Kazım Kurtoğlu'nun katkıları ile İlçe Turizm yasası gereği kurulan komite ile 1-3 Temmuz 1973 tarihleri arasında, ağırlığı müzik, folklor, spor ve sanatsal etkinliklerin düzenlendiği organizasyon oldu."
Kültürel,Uluslararası Troia Festivali,"Uluslararası Çanakkale Troia Festivali, Çanakkale'de 1963'ten itibaren her yıl düzenli olarak organize edilen festival.[1] Çanakkale Belediyesi tarafından, kültürel ve sanatsal etkinlikleri yoğunlaştırmak, UNESCO tarafından dünya mirası olarak gösterilen Truva Antik Kenti kültürü ile bağımsızlığın simgesi Çanakkale Zaferi'ni kültürel ve sanatsal etkinlikler ile kaynaştırmak ve dünya barışına katkı için kültürel değerleri buluşturmak amaçlarıyla düzenlenmektedir."
Kültürel,Ünye Uluslararası Kültür Sanat ve Turizm Festivali,"Ünye Uluslararası Kültür Sanat ve Turizm Festivali, kısa adıyla Ünye Festivali, 1991'den bu yana Ordu'da düzenlenen Türkiye'nin en önemli turizm festivallerinden biridir. Festivaller Ordu iline bağlı Ünye Belediyesi tarafından her yılın Haziran-Temmuz aylarında ilçenin çeşitli yerlerinde yapılmaktadır."
Kültürel,Vartavar,"Vartavar (Ermenice: Վարդավառ, Hemşince: Vartevor veya Behur)[1] Ermenistan[2] ile Türkiye'nin Doğu Karadeniz bölgesinde kutlanan bir festivaldir. Türkiye'de Rize'nin Çamlıhemşin ve Hemşin ilçelerinin yüksek kesimlerinde yaşayan bir halk olan Hemşinliler tarafından Temmuz ve Ağustos ayları içerisinde köyden köye değişen tarihlerde, dinlenmek ve eğlenmek amacıyla yapılan ve Trabzon'da yayılan derneklerden farklı olarak, herkesin değil de daha çok genç kız ve erkeklerin horon edip diğerlerinin seyretmesi ile kutlanan bir yayla şenliğidir."
Kültürel,23 Nisan Dans Günleri,23 Nisan Dans Günleri 2007'den itibaren her yıl Nisan ayında Ankara'da Bale Sanatını Kalkındırma Koruma ve Yayma Derneği (TÜBAK) organizasyonu ile H.Ü. Ankara Devlet Konservatuvarı Devlet Opera ve Balesi Genel Müdürlüğü Ankara Çocuk Balesi ve Ankara'da faaliyet gösteren özel Bale okullarının katılımıyla kutlanan Geleneksel dans festivalinin adı.
Kültürel,İstanbul Uluslararası Çağdaş Dans ve Performans Festivali,İstanbul Uluslararası Çağdaş Dans ve Performans Festivali (iDANS) ilki 2007 yılında düzenlenen uluslararası bir dans ve müzik festivali. iDANS'ta dans gösterilerinin yanı sıra video çalışmaları konserler ve enstalasyonlar ile ünlü dans yazarları ve akademisyenlerin katıldığı konferanslar da gerçekleştirilmektedir.
Kültürel,Uluslararası Eskişehir Festivali,Uluslararası Eskişehir Festivali ilki 1995 yılında düzenlenmiş olan müzik dans tiyatro gibi çeşitli sanat dallarıyla çocuk etkinliklerine yer veren festival.
Kültürel,13 Kare Sanat Festivali,19 Kasım 1995 tarihinde bir fotoğraf çekim gezisine giderken trafik kazası sonucu ölen 13 AFAD üyesi ve kursiyeri anısına 1999 yılından itibaren düzenlenmektedir. Etkinlik 2006 yılının aralık ayından beri Adana Fotoğraf Amatörleri Derneği tarafından düzenlenmektedir.
Kültürel,Salihli Şiir İkindileri,Salihli Şiir İkindileri Manisa'nın Salihli ilçesinde 1985-2013 yılları arasında her yıl iki kez düzenlenen bir edebiyat etkinliğidir.
Kültürel,Sarı Yazma Festivali,Cide Rıfat Ilgaz Sarı Yazma Festivali[1] Kastamonu'nun Cide ilçesinde doğan Rıfat Ilgaz adına düzenlenen bir etkinliktir. Her yıl temmuz ayının ikinci cumartesisinin yer aldığı haftada Cide ilçesinde Rıfat Ilgaz Sarı Yazma Kültür ve Sanat Festivali düzenlenir. Panel sempozyum müzik ve diğer kültürel etkinlikler ile yazar anılır.
Kültürel,Sokakta Şenlik,Sokakta Şenlik Hangar Sanat Derneği tarafından her yıl Ağustos ayında Tünel-Beyoğlu bölgesinde gerçekleştirilen üç günlük bir sanat şenliğidir. İlki 2007 yılında yapılan Şenlik "Ne varsa sokakta var" sloganıyla Beyoğlu'nun en önemli sanat etkinliklerinden biridir. Sokakta Şenlik tamamen kâr amacı gütmeyen genç gönüllülerin organize ettiği yerel temaların ve kamusal alanda sanat kavramını ön plana çıkaran genç sanatçıların desteklendiği ve bakış açılarının katıldığı ilk sokak şenliğidir. Şenlik her yaştan katılımcı için alternatif oluşturabilecek bir program zenginliğine sahiptir. Sokakta Şenlik etkinliklerini her yıl yaklaşık 5000 kişi izlemektedir. Sokakta Şenlik'in başlangıç etkinliği olan Yürüyüşe yaklaşık 1000 kişi katılmaktadır. Şenlik kapsamında aralarında atölyeler sergiler konserler gösteriler ve enstalasyon gibi çeşitli faaliyetlerin yer aldığı 100 sanatçının katılımıyla gerçekleşen yaklaşık 60 etkinlik yapılmaktadır. Sokakta Şenlik 1 31 Ağustos-2 Eylül 2007 tarihlerinde Sokakta Şenlik 2 29-31 Ağustos tarihlerinde düzenlenmiştir. Sokakta Şenlik 3 ise 14-16 Ağustos 2009 16.00-24.00 saatlerinde Tünel bölgesinde gerçekleştirilecektir.
Kültürel,Barışarock,Barışarock 2003 yılından 2008 yılına kadar[1] her yıl ağustos ayının son hafta sonunda Sarıyer Mehmet Âkif Ersoy Piknik Alanı'nda yapılan 3 günlük bir müzik festivalidir.
Kültürel,İstanbul Caz Festivali,İstanbul Caz Festivali İstanbul Kültür Sanat Vakfı tarafından 1994 yılından beri her yıl temmuz ayının ilk yarısında İstanbul'un değişik konser ve etkinlik mekânlarında gerçekleştirilen caz ağırlıklı müzik festivalidir.[1]
Kültürel,Freshtival,Freshtival. Müziğin ve eğlencenin vazgeçilmez markası Miller'ın düzenlediği Türkiye'nin en “taze” müzik festivali Miller Freshtival başladı. Müzik dünyasının yeni ve gizli keşifleri tam gün sürecek bu festivalde ilk kez karşınıza çıktı. Adını yeni duyurmaya başlamış taptaze yerli ve yabancı gruplar günün erken saatlerinden itibaren Miller Freshtival'da sahne aldılar. 30 Mayıs 2009 Cumartesi günü Turkcell Kuruçeşme Arena 'da gerçekleşmiştir.
Kültürel,H2000,H2000 Türkiye'de düzenlenen açık hava festivali. 2000 yılında başlayan festivalin sonuncusu 2003 yılında yapıldı.[1] O yıllarda H2000 Avrupa Festivaller Birliği YOUROPE'a dahil olmuştur.[2]
Kültürel,İstanbul Müzik Festivali,İlk organizasyonu 15 Haziran - 15 Temmuz 1973 tarihleri arasında "İstanbul Festivali" adıyla olan etkinlik klasik müzik klasik bale çağdaş dans opera geleneksel müzik caz pop sinema tiyatro ve görsel sanat türlerinde gerçekleştiriliyordu. 1986 yılından sonra film bienal tiyatro ve caz etkinliklerinin ayrı festivaller haline gelmesiyle müzik festivali de kendine özgü bir kimlik kazanarak bugünkü adını aldı. Avrupa Festivalleri Birliği üyesi olan festivali organize eden İKSV etkinliklerin yerleri olarak da özel konumları seçiyor: Aya İrini Kilisesi Bulgar Kilisesi İstanbul Arkeoloji Müzesi Topkapı Sarayı Süreyya Operası gibi yerlerde verilen resital ve konserler ile geniş izleyici kitlesi tarafından ilgi görmekte olan festivalin ana sponsoru Borusan Holding'tir.
