category,title,content
Siyasi,Türkiye siyasi tarihi,"Türkiye siyasi tarihi, Mustafa Kemal Atatürk'ün Türk ulus devletini ihdas etmesine giden yolda bir evre olan Türk Kurtuluş Savaşı ile başlar."
Siyasi,12 Eylül Davası,"12 Eylül Davası, 12 Eylül Darbesi'ni gerçekleştiren komutanlardan hayatta kalanların yargılandığı dava. Kenan Evren ve Tahsin Şahinkaya, 765 sayılı TCK'nin ""Devlet Kuvvetleri Aleyhinde Cürümler"" başlıklı 146. maddesi uyarınca müebbet hapis cezasına çarptırıldı.[1] Tahsin Şahinkaya'nın, Kenan Evren’den iki ay sonra, 90 yaşında ölmesiyle Yargıtay aşamasındaki dava düştü ve kararlar kesinleşmedi. Yıllar sonra, 15 Temmuz 2016 Darbe Girişimi sonrası; Kenan Evren'in ifadesini alan dönemin Ankara Cumhuriyet Başsavcı Vekili, Kenan Evren ve Tahsin Şahinkaya'ya dava açan dönemin Ankara Cumhuriyet Savcısı, açılan davaya ilk bakan hâkimler ve iddia makamında bulunan savcılar, ""Fethullahçı Terör Örgütü (FETÖ) soruşturması"" kapsamında meslekten ihraç edildi. Daha sonra bazıları yargılandı ve mahkûm oldu."
Siyasi,12 Temmuz Beyannamesi,12 Temmuz Beyannamesi veya 12 Temmuz Çok Partili Beyanname[1] Cumhurbaşkanı İsmet İnönü tarafından 12 Temmuz 1947'de[2] verilen ve Türkiye'de normal birçok partili sistemin temellerini atan[1] bildirgedir.
Siyasi,2015-16 Şırnak çatışmaları,"2015-2016 Şırnak çatışmaları, Türkiye'nin Şırnak il merkezi ile birlikte Cizre, İdil ve Silopi ilçelerinde 2015 yılının ikinci yarısından sonra özyönetim talepleri sonucu başlayan, güvenlik güçleri ile PKK, YDG-H ve YPS mensupları arasında devam eden çatışmalar bütünü.[147][148][149] Çatışmaların olduğu bölgelerdeki birçok mahalleye hendekler kazılmış, bu gelişmelerin ardından ildeki birçok mahallede sokağa çıkma yasakları ilan edilmiştir."
Siyasi,2016 Hakkâri çatışmaları,"2016 Hakkâri çatışmaları, Türkiye'nin Hakkâri ilinde 2016 yılının başından itibaren güvenlik güçleri ile PKK ve YPS mensupları arasında gerçekleşen çatışmalar bütünü. Hakkâri'ye bağlı Yüksekova ilçesinde 13 Mart 2016 tarihinde sokağa çıkma yasağı ilan edilmiş,[47] ardından Yüksekova ilçesinde 20 bin asker ve polisin katıldığı operasyon başlamıştır.[48]"
Siyasi,2023-2025 Türkiye anayasa krizi,"2023-2025 Türkiye anayasa krizi, 8 Kasım 2023 tarihinde Yargıtay 3. Ceza Dairesinin TBMM üyesi Can Atalay'ın tahliye edilmesine dair Anayasa Mahkemesinin kararını bozmak için müdahalede bulunması ile başlayan bir yargı krizi sürecidir.[1]"
Siyasi,21 Ekim Protokolü,"21 Ekim Protokolü, 27 Mayıs Darbesi sonrası İstanbullu bir grup general ve albayın imzaladığı darbeye teşebbüs protokolü."
Siyasi,28 Şubat Süreci,"28 Şubat Süreci, Necmettin Erbakan'ın başbakan, Tansu Çiller'in başbakan yardımcısı ve dışişleri bakanı olduğu 28 Şubat 1997'de yapılan Millî Güvenlik Kurulu toplantısı sonucu açıklanan kararlarla ""irtica""ya karşı başlayan ordu ve bürokrasi merkezli süreç.[1] Süreç, Erbakan'ın istifasına ve REFAHYOL Hükûmetinin dağılmasına yol açmıştır. Türk siyasi tarihine geçen kararların uygulandığı dönemde Türkiye'de siyasi, idari, hukuki ve toplumsal alanlarda değişimler yaşanmıştır. Yaşananlar postmodern darbe olarak da adlandırılmıştır.[1][2] Verilen kararların ve yaptırımların uygulanıp uygulanmadığını denetlemek için Çevik Bir öncülüğünde Batı Çalışma Grubu kurulmuştur. 28 Şubat Süreci'nde aktif rol alan bazı kişiler (Çetin Doğan, Kemal Gürüz vs.) daha sonra Balyoz, Ergenekon gibi davalarda yargılanmıştır. 28 Şubat davası ise 2012 yılında başlamıştır."
Siyasi,Adalet ve Kalkınma Partisi tarihi,"Adalet ve Kalkınma Partisi, Türkiye'de cumhuriyet döneminde ardı ardına en fazla seçim kazanan siyasi partidir. Fazilet Partisi'nin kapatılmasının ardından partide bulunan Yenilikçiler olarak bilinen  grup tarafından 14 Ağustos 2001 tarihinde kurulmuş, 3 Kasım 2002 tarihinde düzenlenen genel seçimlerde, 1987 yılında Anavatan Partisi'nin iktidar olmasından sonra tek başına iktidara gelen ilk siyasi parti olmuştur. Seçimlerin ardından Abdullah Gül liderliğinde 58. Hükûmet kurulmuş, kısa bir süre sonra Recep Tayyip Erdoğan'ın siyasi yasağının kaldırılması ve milletvekili seçilmesiyle beraber liderliğinde 59. Hükûmet kurulmuştur."
Siyasi,Adalet Yürüyüşü (2017),"Adalet Yürüyüşü, Cumhuriyet Halk Partisi (CHP) Genel Başkanı Kemal Kılıçdaroğlu öncülüğünde başlayan, çeşitli isimlerin ve grupların katılımıyla büyüyen, Ankara'dan İstanbul'a kadar ""adalet"" talebiyle gerçekleşen sivil yürüyüş olayıdır. Kılıçdaroğlu yürüyüş kararını, 14 Haziran 2017'de Millî İstihbarat Teşkilatı'na ait TIR'ların görüntülerini Cumhuriyet gazetesinin eski genel yayın yönetmeni Can Dündar'a verdiği suçlamasıyla yargılanan CHP İstanbul Milletvekili Enis Berberoğlu'nun yirmi beş yıl hapis cezası alması ve tutuklanmasına kararı verilmesi sonrasında aldı. Yürüyüşün nedenleri arasında 15-16 Temmuz 2016 tarihleri arasında Türk Silahlı Kuvvetleri bünyesinde kendilerini Yurtta Sulh Konseyi olarak tanımlayan bir grup asker tarafından gerçekleştirilen darbe girişiminden sonra çıkarılan kanun hükmünde kararnamelerin uzun süreli olması, bu yetkinin FETÖ ile mücadelenin önüne geçilip bütün muhalif kesimlerle mücadeleye dönüşmesi, milletvekillerin tutuklanması, üniversite hocalarının (barış bildirisine imza atanlar dahil) meslekten atılması da gösterildi. Yürüyüş, 15 Haziran 2017'de Ankara'da Güvenpark'ta başladı ve 9 Temmuz 2017'de Maltepe'de sonlandı. 420 kilometrelik yolu 25 günde yürüyen Kılıçdaroğlu, yürüyüşün sonunda Maltepe'de bir miting de düzenledi."
Siyasi,Aferistler,"Aferistler ya da  İş Bankası Grubu, Türkiye Cumhuriyeti'nin ilk yıllarında devlet bürokrasisi ile sermaye sahipleri arasında kalarak maddi menfaat ve çıkar sağlayan bürokrat ve siyasetçileri tanımlamak için kullanılan siyasi bir ifade. Bu kişiler genellikle 1924'te yeni kurulan Türkiye İş Bankası olanaklarından faydalandıkları için İş Bankası Grubu olarak da anılmıştır. Aferist deyişi de İş Bankası'nın Fransızca karşılığı olan ""banque d'affaires""ten gelmektedir."
Siyasi,Alaturka saat,"Alaturka Saat (Osmanlı Türkçesi: آلاتورقه ساعت ), Osmanlı İmparatorluğu ve Türkiye Cumhuriyeti'nin ilk yıllarında kullanılan ve eşit saatlere (yani eşit uzunluktaki saatlere) dayanan yerel bir zaman ölçüm yöntemiydi."
Siyasi,Anayasa kitapçığı krizi,"Anayasa kitapçığı krizi, Anayasa fırlatma krizi ya da Kara Çarşamba, 19 Şubat 2001 Pazartesi tarihli Millî Güvenlik Kurulu toplantısında Cumhurbaşkanı Ahmet Necdet Sezer'in Başbakan Bülent Ecevit'e Türkiye Cumhuriyeti anayasa kitapçığını fırlatması ile başlayan siyasi kriz. Kısa süre içinde ülke piyasalarını etkiledi ve 2001 Türkiye ekonomik krizinin nedenlerinden biri hâline geldi.[1]"
Siyasi,Askerî casusluk ve şantaj davası,"Askeri casusluk ve şantaj davası, devletin güvenliğine ilişkin belgeleri sızdırmak suçlamasıyla İstanbul 11. Ağır Ceza Mahkemesi'nde başlayan davanın[1] karar duruşması 29 Ocak 2016 günü Anadolu 5. Ağır Ceza Mahkemesinde yapıldı. Mahkeme Heyeti Başkanı Selçuk Kaya tüm sanıkların beraatine karar verildiğini açıkladı."
Siyasi,Beşli çete,"Beşli çete, yakın zaman Türk siyasi tarihinde; Cengiz Holding, Limak Holding, Kalyon Holding, Kolin Holding ve Makyol Grubu'nu kapsayan; muhalefet tarafından yolsuzluk ile suçlanan şirketlere dair bir siyasi terimdir. Dünyada en çok ihale alan şirketlerin arasına girdikleri iddia edilmiştir.[1][2]"
Siyasi,Beyaz ihtilal,"Beyaz ihtilal, Türkiye'de çok partili döneme geçilmesi ile birlikte Demokrat Parti tarafından 14 Mayıs 1950 genel seçimleri için kullanılan ifade. CHP'nin iktidarı kaybetmesi ""ihtilal"" olarak, bunun şiddet ve kansız bir şekilde demokratik bir usul olan seçimle yapılması ""beyaz"" olarak nitelendirilmiştir."
Siyasi,Cumhuriyet Halk Partisi tarihi,"Cumhuriyet Halk Partisi, Türkiye'de cumhuriyet dönemindeki ilk yasal ve en uzun süre iktidarda kalmış siyasi partidir. İlk olarak Türk Kurtuluş Savaşı döneminde Anadolu ve Rumeli Müdâfaa-i Hukuk Cemiyeti olarak örgütlenmiş ve daha sonradan ""Halk Fırkası""[1] adıyla resmi olarak kabul edilmiştir. 1935 yılında düzenlenen 4. Olağan Kurultay'da partinin adı ""Cumhuriyet Halk Partisi"" olarak değiştirilmiştir.[2]"
Siyasi,Dava adamı,Bağımsız ve güvenilir kaynaklar kullanarak maddeyi geliştirebilir ve kayda değer olduğunu ispat edebilirsiniz. Maddenin kayda değerliği kanıtlanamazsa Vikipedi'nin silme politikası gereğince hızlı silinmesi veya kayda değerliği tartışmalı ise silinmeye aday gösterilmesi yerinde olacaktır.
Siyasi,Değişim ve Adalet Yürüyüşü,"Değişim ve Adalet Yürüyüşü, CHP'li eski milletvekili ve mevcut Bolu belediye başkanı Tanju Özcan'ın 2023 cumhurbaşkanlığı ve genel seçimlerinin Cumhuriyet Halk Partisi ve Millet İttifakı tarafından kaybedilmesi dolayısıyla Kemal Kılıçdaroğlu'nu istifaya davet etmesi[7] ve Özcan'ın kesin ihraç talebiyle disipline sevk edilmesi[8] üzerine 3 Temmuz 2023 tarihinde Bolu'dan başlatmış olduğu yürüyüş.[9]"
Siyasi,Devr-i sabık yaratmak,"Devr-i sabık yaratmak, Türkiye siyasi tarihinde yeni gelen yönetimin/iktidarın, kendinden önceki dönemi sorgulaması, hesap sorması vb. anlamında kullanılan ifade. Türk siyasetinde genellikle, çok partili döneme geçilmesiyle birlikte 1950 genel seçimlerinde iktidara gelen Demokrat Parti'nin kendinden önceki 23 yıllık Cumhuriyet Halk Partisi dönemine yönelik ""devr-i sabık yaratmayacağız"" açıklaması ile bilinir."
Siyasi,Dış mihraklar,"Dış mihraklar, Türkiye siyasetinde her dönem birçok siyasetçi tarafından kullanılmış ve Türkiye'nin kötülüğünü isteyen yabancı ülke, kurum veya kişiler anlamında kullanılan siyasi ifade."
Siyasi,Dil Devrimi,"Dil Devrimi, Türkçe yazı dilinin Arapça, Farsça ve Fransızca gibi dillerden alınan alıntı sözcük ve kurallardan arındırılıp konuşma diline yaklaştırılmasını amaçlayan ve 12 Temmuz 1932 tarihinde Cumhurbaşkanı Atatürk öncülüğünde Türk Dil Kurumu aracılığıyla başlatılan devrimdir."
Siyasi,Dokuz Subay Olayı,"Dokuz Subay Olayı, 1957-1958'de bir grup subayın hükûmete komplo hazırlamak suçundan tutuklanarak yargılanmaları."
Siyasi,Dokuz Umde,"Dokuz Umde veya Dokuz İlke, Mustafa Kemal Atatürk'ün TBMM'nin birinci döneminin çalışma süresi sona ermeden bir süre önce, 8 Nisan 1923'te yayımlamış olduğu bildiridir. CHP'nin ilk programı olarak sayılmaktadır."
Siyasi,DTCF Tasfiyesi,"DTCF Olayları, 1948 yılında Ankara Üniversitesi Dil ve Tarih-Coğrafya Fakültesindeki dört öğretim üyesinin komünist oldukları gerekçesiyle görevlerinden tasfiye edilmesi sonucu başlayan olaylardır."
Siyasi,Ergenekon davaları,"Ergenekon davaları veya Ergenekon kumpası,[1][2][3][4] iddia olunan Ergenekon örgütü kapsamında açılan davalardır."
Siyasi,Faiz lobisi,"Faiz lobisi, Kur lobisi ya da Kriz lobisi, Türkiye siyasi ve ekonomi tarihinde yüksek faiz oranları sayesinde kolay ve yüksek kâr kazanma peşinde olan kişi veya kuruluşları tanımlamak için kullanılan söylem. Genellikle siyasetçiler tarafından belirli bir kişi veya kurum kastedilmeden ülke ekonomisinde faizlerin sürekli yüksek olmasını isteyen yerli veya yabancı belli bir grubun olduğu ve bu grubun Türk ekonomisini kontrol etmeye ya da etkilemeye çalıştığı anlamında kullanılır.[1]"
Siyasi,Geyikli Olayları,"Geyikli Olayları, Çanakkale'nin Ezine ilçesi Geyikli beldesinde Demokrat Parti ile Cumhuriyet Halk Partisi üyeleri arasında yaşanan tartışmanın büyüyerek ilçe geneline yayılması ve sıkı güvenlik tedbirlerinin alınmasına yol açan 11 Eylül 1959 tarihli olaylardır. Bu olaylar 27 Mayıs Darbesi'ne giden süreçte Türkiye'deki siyasi gerginliklerden biri olmuş ve darbe sonrasında başlayan Yassıada Yargılamaları'nda Adnan Menderes ve arkadaşlarına yönelik suçlamalardan birini oluşturmuştur."
Siyasi,Güç Birliği Cephesi,"Güç Birliği Cephesi, 1957 Türkiye genel seçimleri öncesinde Cumhuriyetçi Millet Partisi ve Cumhuriyet Halk Partisi olmak üzere muhalefet partilerinin iktidardaki Demokrat Parti hükûmetine karşı oluşturduğu siyasi işbirliği oluşturma fikridir. Ancak aynı yıl seçim kanununda yapılan değişiklik ile siyasi partilerin seçimde işbirliği yapmaları yasaklandığından işbirliği fikri sözde kalmış, seçimlerden sonra parti birleşmeleri yoluyla fiili olarak kısmen gerçekleşmiştir. Bu işbirliğine tepki olarak Demokrat Parti tarafından Vatan Cephesi oluşturulmuştur."
Siyasi,Güniz Sokak,"Güniz Sokak, Süleyman Demirel ve eşi Nazmiye Demirel'in ikamet etmiş olduğu Ankara'nın Çankaya ilçesi Kavaklıdere semtinde evinin bulunduğu sokaktır."
Siyasi,Hürriyet Misakı,"Hürriyet Misakı, Demokrat Parti'nin 7 Ocak 1947 tarihli Birinci Büyük Kongresinde kabul edilen ve çok partili döneme geçilmesine rağmen halen tek parti dönemi uygulamalarının devam ettiği yönündeki eleştirileri içeren rapordur."
Siyasi,İkinci Cumhuriyet,"İkinci Cumhuriyet, Türkiye siyasi tarihinde birincisi 27 Mayıs Darbesi sonrası, ikincisi ise 1990'larda olmak üzere iki farklı dönemde farklı anlamlarda kullanılmış siyasi bir ifadedir. İdris Küçükömer'in, cumhuriyet devriminin halkın egemenliğine değil bürokrasiye dayandığı ve Kemalist cumhuriyetin otoriter ve jakoben bir özellik taşıdığını ileri sürdüğü tezleri 1990'lı yıllarda İkinci Cumhuriyetçi bir gruba ilham vermiştir.[1]"
Siyasi,Mavi Vatan,"Mavi Vatan, Türkiye Cumhuriyeti'nin Karadeniz, Akdeniz ve Ege'de ilan ettiği deniz yetki alanlarını (karasuları, kıta sahanlığı ve münhasır ekonomik bölge) kapsayan doktrin.[1]"
Siyasi,Naci Şerifi Zindaşti,"Naci Şerifi Zindaşti, Kürt asıllı İranlı uyuşturucu baronudur.[1] Kendisinin ismi Burhan Kuzu ile fotoğrafı ve İran İstihbaratı ile ilişkisi iddiası gibi birçok siyasi olayda anılmıştır.[2]"
Siyasi,Özgürlük Yürüyüşü,"Özgürlük Yürüyüşü, 1 Ekim 2023 tarihinde Türkiye İşçi Partisi tarafından milletvekili Can Atalay'ın tutukluluğunu protesto etmek için başlatılan yürüyüştür. Hatay'da başlamış ve Ankara'da son bulmuştur. Yürüyüşte günde ortalama olarak 30 kilometre yol kat edilmiş ve yürüyüşün her gününde ayrı bir temanın ele alınmıştır.[1]"
Siyasi,Pirin Palas,"Pirin Palas, 12 Eylül döneminde Adıyaman'da bulunan işkence merkezi. Bu isim halk arasında, şehrin biraz dışında bulunmasından ve uzun süreli gözaltılardan dolayı verilmişti.[1] Cunta döneminde yurt çapında, başka amaçlarla inşa edilen binalara el koyularak işkence merkezleri oluşturuldu. Bu merkezlerde kadın[2]  erkek binlerce aydın, yazar, öğrenci, işçi, köylü gözaltına alınarak ağır işkencelerden geçirildi. Başlangıçta 90 ila 180 gün olan, yıllar sonra 45 güne indirilen gözaltı süresince çırılçıplak soyarak kaba dayak atma, falakaya yatırma, elektrik verme, tavana asma, cop sokma, testis sıkma, aç ve susuz bırakma gibi işkenceler uygulanıyordu.[3] Gözaltında ölümler, kaybedilmelerin yanı sıra mağdurlardaki travmalar da insan hakları derneklerinin gündeminde yer buldu.[4]"
Siyasi,Saltanatın kaldırılması,"Saltanatın kaldırılması veya padişahlığın kaldırılması, Türkiye Büyük Millet Meclisinin 1 Kasım 1922'de kabul ettiği 308 numaralı ""Türkiye Büyük Millet Meclisi'nin, hukuku hâkimiyet ve hükümraninin mümessili hakikisi olduğuna dair"" adlı kararnamesi ile gerçekleşmiştir.[1] Saltanatın kaldırılmasıyla beraber Osmanlı İmparatorluğu resmen sona ermiştir."
