category,title,content
Spor,Fenerbahçe Boks Şubesi 1914-15 sezonu,Fenerbahçe Boks Şubesi 1914-15 sezonunda Kuşdili Lokali'ne kurulan ring sayesinde büyük atılım yaptı.
Spor,Fenerbahçe Boks Şubesi 1914-15 sezonu,Fenerbahçe Boks Şubesi 1914-15 sezonunda Kuşdili Lokali'ne kurulan ring sayesinde büyük atılım yaptı.
Spor,Fenerbahçe Boks Şubesi 1919-20 sezonu,Fenerbahçe Boks Şubesi 1919-20 sezonunda İstanbul'un İşgali (fiilen 13 Kasım 1918) sonrasında Türk gençleri ile İşgal Kuvvetlerine mensup sporcu kökenli askerler arası başlayan boks karşılaşmalarında mücadele verdi. Bu müzabakalar zamanla büyük ilgi gördü ve ringlerde yeni yıldızlar görülmeye başlandı.[1]
Spor,Fenerbahçe Boks Şubesi 1919-20 sezonu,Fenerbahçe Boks Şubesi 1919-20 sezonunda İstanbul'un İşgali (fiilen 13 Kasım 1918) sonrasında Türk gençleri ile İşgal Kuvvetlerine mensup sporcu kökenli askerler arası başlayan boks karşılaşmalarında mücadele verdi. Bu müzabakalar zamanla büyük ilgi gördü ve ringlerde yeni yıldızlar görülmeye başlandı.[1]
Spor,Fenerbahçe Masa Tenisi Şubesi 1929-30 sezonu,Fenerbahçe Masa Tenisi Şubesi tarihinde ilk kez 1930 yılında faaliyet gösterdi. Aynı yıl düzenlenen ilk İstanbul Şampiyonası'nda Fenerbahçeli Raşit Bey şampiyon oldu.[1]
Spor,Fenerbahçe Masa Tenisi Şubesi 1948-49 sezonu,Fenerbahçe Masa Tenisi Şubesi erkek takımı 1948-49 sezonunda ilk kez kulüplerarası düzenlenen İstanbul Masatenisi Şampiyonası'nda şampiyon oldu.
Spor,1948 Kış Olimpiyatları'nda Türkiye,"Türkiye, İsviçre'nin Saint-Moritz şehrinde düzenlenen 1948 Kış Olimpiyatları'na, tamamı alp disiplininde mücadele eden 4 sporcu ile katıldı. İkinci kez Kış Olimpiyatları'na sporcu gönderen ülke, ilk katılımında olduğu gibi madalya kazanamadı."
Spor,1948 Yaz Olimpiyatları'nda Türkiye,"Türkiye, Londra'da yapılan 1948 Yaz Olimpiyatları'na, 6 branşta 1'i kadın 58 sporcu[1][2] ile katıldı. Türkiye kazandığı 6 altın, 4 gümüş, 2 bronz madalyayla ekip halinde Olimpiyat yedincisi oldu."
Spor,1949 Avrupa Güreş Şampiyonası,"1949 Avrupa Güreş Şampiyonası, 3-5 Haziran 1949 günleri arasında, Türkiye'nin İstanbul şehrindeki Lütfi Kırdar Kongre ve Sergi Sarayı'nda[1] düzenlenen Avrupa Güreş Şampiyonası etkinliğidir. Yalnızca erkekler serbest müsabakalarının yapıldığı şampiyonada, takım sıralaması baz alındığında Türkiye ilk sırada yer aldı. Bireysel anlamda ise 6 altın ile birer gümüş ve bronz madalyayla Türkiye birinci sırada yer alırken onu ikişer altın ve bronz ile 3 gümüş madalya kazanan İsveç ile 4 gümüş ve 1 bronz madalyalı İran izledi.[2]"
Spor,Fenerbahçe Masa Tenisi Şubesi 1948-49 sezonu,Fenerbahçe Masa Tenisi Şubesi erkek takımı 1948-49 sezonunda ilk kez kulüplerarası düzenlenen İstanbul Masatenisi Şampiyonası'nda şampiyon oldu.
Spor,1952 Yaz Olimpiyatları'nda Türkiye,"Türkiye, Helsinki'de yapılan 1952 Yaz Olimpiyatları'na 4 branşta tamamı erkek 52 sporcu[1] ile katıldı."
Spor,Fenerbahçe (basketbol takımı) 1951-52 sezonu,Fenerbahçe (basketbol takımı) 1951-52 sezonunda İstanbul Erkekler Basketbol Ligi'nde mücadele etti ve dördüncü oldu.
